区分,２７年度金額（億円）,２７年度構成比（％）,26年度金額(億円）,26年度構成比（％）,増減額（億円）,増減率（％）
都税,51624,71.8,47349,69.1,4275,9
うち法人二税,17635,24.5,16442,24,1193,7.3
地方譲与税,2720,3.8,3648,5.3,△928,△25.4
国庫支出金,3758,5.2,3861,5.6,△103,△2.7
都債,1562,2.2,1670,2.4,△108,△6.5
その他,12199,17,12006,17.5,193,1.6
歳入合計,71863,100,68534,100,3329,4.9
