銘柄（回号）,発行日（年月日）,発行額（百万円）,発行価格（円）,利率（％）,償還期間自（年月日）,償還期間至（年月日）,元利金支払期日上期（月日）,元利金支払期日下期（月日）,会計別充当状況一般普通（百万円）,会計別充当状況と場（百万円）,会計別充当状況都営住宅（百万円）,会計別充当状況用地（百万円）,会計別充当状況病院（百万円）,会計別充当状況市場（百万円）,会計別充当状況臨海地域（百万円）,会計別充当状況交通（百万円）,会計別充当状況高速（百万円）,会計別充当状況水道（百万円）,会計別充当状況下水（百万円）,(単位：百万円)
公募20-1,15.08.21,20000,99.98,1.540,16.02.25,05.06.20,08.25,02.25,4080,-,-,-,-,-,-,-,8120,2000,5800,
公募30-1,15.10.24,10000,99.80,2.210,16.02.25,15.06.20,08.25,02.25,10000,-,-,-,-,-,-,-,-,-,-,
公募20-2,15.12.10,20000,99.85,1.970,16.08.25,05.09.20,08.25,02.25,14200,-,-,-,-,-,-,-,-,-,5800,
公募30-2,15.12.12,10000,99.91,2.300,16.08.25,15.09.20,08.25,02.25,10000,-,-,-,-,-,-,-,-,-,-,
公募30-3,16.06.16,20000,99.95,2.670,17.02.25,16.03.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募20-3,16.05.27,30000,99.92,2.260,16.08.25,06.03.19,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募20-4,16.11.11,20000,100.00,2.220,17.02.25,06.09.20,08.25,02.25,16000,-,-,-,-,-,-,-,-,4000,-,
公募20-5,17.04.21,20000,99.86,2.110,17.08.25,07.03.19,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募30-4,17.04.21,20000,99.85,2.550,17.08.25,16.12.20,08.25,02.25,17000,-,-,-,-,-,-,-,-,3000,-,
公募20-6,17.06.20,20000,100.00,2.000,18.02.25,07.03.19,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募20-7,17.10.21,30000,99.85,2.160,18.02.25,07.09.19,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募20-8,18.06.12,20000,99.93,2.360,19.02.25,08.03.19,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-634,18.06.26,50000,99.93,1.860,19.02.25,28.06.20,08.25,02.25,40789,-,2641,-,-,-,-,-,-,-,6570,
公募30-5,18.06.30,20000,99.83,2.740,19.02.25,18.03.19,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-635,18.07.26,50000,99.96,2.000,19.02.25,28.06.20,08.25,02.25,47100,-,2900,-,-,-,-,-,-,-,-,
公募20-9,18.08.15,20000,99.87,2.440,19.02.25,08.06.19,08.25,02.25,8400,-,-,-,-,-,-,-,11600,-,-,
公募10-636,18.08.22,50000,100.00,2.040,19.02.25,28.06.20,08.25,02.25,38956,-,930,-,-,-,-,-,580,-,9534,
公募10-637,18.09.27,50000,99.99,1.810,19.02.25,28.09.20,08.25,02.25,42733,-,2616,-,-,-,-,-,2379,-,2272,
公募10-638,18.10.24,50000,99.96,1.900,19.02.25,28.09.20,08.25,02.25,26630,-,1624,-,-,18500,-,-,-,-,3246,
公募20-10,18.11.13,20000,100.00,2.330,19.02.25,08.09.18,08.25,02.25,12000,-,-,-,-,-,-,-,5000,3000,-,
公募10-639,18.11.27,50000,99.99,1.830,19.02.25,28.09.20,08.25,02.25,35015,-,1143,-,-,-,-,-,-,-,13842,
公募10-640,18.12.26,50000,99.99,1.790,19.08.25,28.12.20,08.25,02.25,39429,-,2702,-,-,-,-,-,-,3000,4869,
公募10-641,19.01.26,50000,99.96,1.820,19.08.25,28.12.20,08.25,02.25,43548,-,1206,-,-,-,-,-,-,2000,3246,
公募10-642,19.02.26,50000,99.93,1.840,19.08.25,28.12.20,08.25,02.25,10749,-,1857,-,-,-,-,-,6222,2000,29172,
公募10-643,19.03.27,50000,99.99,1.700,19.08.25,29.03.17,08.25,02.25,11120,-,785,-,1439,-,-,2680,5898,3407,24671,
公募10-644,19.04.24,40000,99.99,1.770,19.08.25,29.03.17,08.25,02.25,26799,-,1359,-,-,-,-,-,-,-,11842,
公募20-11,19.05.22,20000,100.00,2.220,19.08.25,09.03.19,08.25,02.25,13992,-,6008,-,-,-,-,-,-,-,-,
公募10-645,19.05.24,40000,99.99,1.770,19.08.25,29.03.17,08.25,02.25,17108,-,8164,13754,-,-,-,-,-,-,974,
公募10-646,19.06.26,30000,99.91,1.990,20.02.25,29.06.20,08.25,02.25,19872,-,3558,-,-,-,-,-,-,-,6570,
公募10-647,19.07.25,30000,99.97,1.970,20.02.25,29.06.20,08.25,02.25,7802,-,3480,-,-,-,-,-,15080,-,3638,
公募10-648,19.08.21,30000,99.96,1.840,20.02.25,29.06.20,08.25,02.25,15182,-,1950,-,-,-,-,-,-,-,12868,
公募10-649,19.09.27,30000,99.98,1.730,20.02.25,29.09.20,08.25,02.25,21992,-,1740,-,-,-,-,-,6268,-,-,
公募10-650,19.10.25,30000,99.97,1.850,20.02.25,29.09.20,08.25,02.25,28260,-,1740,-,-,-,-,-,-,-,-,
公募20-12,19.10.30,20000,99.96,2.310,20.02.25,09.09.17,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-651,19.11.27,30000,99.99,1.620,20.02.25,29.09.20,08.25,02.25,13835,-,385,-,-,-,-,-,113,3000,12667,
公募10-652,19.12.26,50000,99.94,1.690,20.08.25,29.12.20,08.25,02.25,40410,-,-,-,-,-,-,-,2449,-,7141,
公募10-653,20.01.28,50000,99.95,1.540,20.08.25,29.12.20,08.25,02.25,34132,-,-,-,-,3287,-,-,266,2000,10315,
公募20-13,20.01.31,20000,99.93,2.150,20.08.25,09.12.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募30-6,20.02.13,10000,99.83,2.580,20.08.25,19.09.18,08.25,02.25,10000,-,-,-,-,-,-,-,-,-,-,
公募10-654,20.02.26,30000,99.98,1.580,20.08.25,29.12.20,08.25,02.25,705,-,453,-,-,-,-,-,9064,2000,17778,
