"年度[西暦]","利用者数[人]"
"2018","782449"
"2019","808724"
"2020","480938"
"2021","567616"
"2022","685967"

"令和5年度港区行政資料集　台場シャトルバス「お台場レインボーバス」の利用者数","Ver202303"
