分類１,分類２,種目,数量１,数量２（ｍ２）,価格（千円）
土地,行政財産,八丈支庁庁舎敷地,３個所,7674.61,108030
土地,行政財産,八丈支庁職員住宅敷地,６個所,13561.22,7517
土地,行政財産,水防倉庫敷地,,1609.59,26136
土地,行政財産,土木課書庫敷地,,452.97,7204
土地,普通財産,旧八丈支庁庁舎敷地,,4465.46,2239
土地,小計,,,27763.85,151125
建物,行政財産,八丈支庁庁舎,１棟,4651.45,1714262
建物,行政財産,住宅建,９棟,5341.40,1257273
建物,行政財産,倉庫建,６棟,1387.89,145697
建物,行政財産,駐輪場,２棟,22.00,4422
建物,行政財産,歩道橋、玄関庇,,152.81,35095
建物,普通財産,旧八丈支庁庁舎,２棟,622.82,1759
建物,普通財産,倉庫建,１棟,66.11,329
建物,小計,,,12244.48,3158839
工作物,行政財産,スロープ,,161.65,49979
工作物,行政財産,駐車場,,2595.50,54580
工作物,普通財産,碑塔,１個,,823
工作物,小計,,１個,,823
立木,行政財産,樹木,１０５本,,1602
立木,普通財産,樹木,１４本,,212
立木,小計,,１１９本,,1814
合計,,,-,-,3417160
