小中（校）,町村別,学校名（校）,創立（年）,学級数（学級）,児童・生徒数（人）,教職員数（人）,備考
小学校,八丈町,三根,明治８年,7,196,18,特別支援学級１学級／充当指導主事１名
小学校,八丈町,大賀郷,明治１０年,8,126,19,通級指導学級１学級／特別支援学級１学級／栄養士１名
小学校,八丈町,三原,平成１９年,6,58,13,
小学校,八丈町,小計,,21,380,50,
小学校,青ヶ島村,青ヶ島,明治７年,3,5,9,栄養士１名
小学校,計,４校,,24,385,59,
中学校,八丈町,富士,昭和２２年,4,91,20,通級指導学級１学級
中学校,八丈町,大賀郷,昭和２９年,3,48,15,
中学校,八丈町,三原,昭和２２年,3,31,15,
中学校,八丈町,小計,,10,170,50,
中学校,青ヶ島村,青ヶ島,昭和２２年,2,8,12,（校長は小学校長兼務）
中学校,計,４校,,12,178,62,
