町村別区分,自主財源総額（百万円）,自主財源（％）,依存財源都支出金（百万円）,依存財源（％）,依存財源地方交付税（百万円）,依存財源（％）,依存財源国支出金（百万円）,依存財源（％）,依存財源地方債（百万円）,依存財源（％）,依存財源その他（百万円）,依存財源（％）,合計（百万円）
八丈町,2066,28.1,1938,26.3,2080,28.3,346,4.7,651,8.8,275,3.8,7356
青ヶ島村,251,27.4,343,37.4,310,33.8,3,0.4,0,0.0,9,1.0,916
