区分,搬送回数合計（回）,搬送回数消防庁（回）,搬送回数自衛隊（回）,搬送人数合計（人）,搬送人数消防庁（人）,搬送人数自衛隊（人）
八丈町,31,26,5,31,26,5
青ヶ島村,0,0,0,0,0,0
合計,31,26,5,31,26,5
