種別１,種別２,２６年１月から１２月金額（千円）,２６年１月から１２月（％）,２７年１月から１２月金額（千円）,２７年１月から１２月（％）,前年比（％）
林産物,総額,954,-,996,-,-
林産物,木炭,954,100.0,996,100.0,4.4
林産物,椎茸,0,0.0,0,0.0,-
水産物,総額,940640,-,964520,-,-
水産物,魚類,939006,99.8,962701,99.8,2.5
水産物,貝類,1634,0.2,1699,0.2,4.0
水産物,藻類,-,0.0,120,0.0,120.0
