区分１,区分２,本庁執行分（※）,２９年度当初予算（千円）,本庁執行分（※）,２８年度当初予算（千円）,対前年比（％）
八丈支庁,総務課,※,828647,※,1183712,70.0
八丈支庁,産業課,,825552,,367322,224.7
八丈支庁,土木課,,3591201,,3417658,105.1
八丈支庁,港湾課,※,4455600,※,3972600,112.2
島しょ保健所八丈出張所,,,21287,,22676,93.9
教育庁八丈出張所,,,34903,,35213,99.1
農林水産総合センター八丈事業所,,,99410,,99410,100.0
合計,,,9856600,,9098591,108.3
