町村別区分,普通建設事業総額（百万円）,普通建設事業（％）,人件費総額（百万円）,人件費（％）,物件費総額（百万円）,物件費（％）,公債費総額（百万円）,公債費（％）,その他総額（百万円）,その他（％）,合計（百万円）
八丈町,1838,25.0,1190,16.2,1348,18.3,778,10.6,2202,29.9,7356
青ヶ島村,253,27.6,153,16.7,309,33.7,35,3.8,166,18.2,916
