税目,２３収入額（千円）,２３歩合（％）,２４収入額（千円）,２４歩合（％）,２５収入額（千円）,２５歩合（％）,２６収入額（千円）,２６歩合（％）
法人都民税,17520,95.9,25577,97.8,13816,96.7,18810,95.6
法人事業税,39094,96.6,65756,99.9,32175,99.8,45930,93.5
個人事業税,5374,99.0,7880,97.4,7387,97.2,5543,96.3
不動産取得税,8847,81.1,12030,88.0,11205,88.9,5355,89.1
自動車税,4837,55.4,4958,54.7,5261,73.0,5731,87.2
軽油引取税,13270,100.0,10487,100.0,9239,100.0,7494,100.0
狩猟税,99,100.0,99,100.0,105,100.0,99,100.0
旧法による税,-,-,-,-,-,-,-,-
個人都民税,242870,85.9,252151,85.5,251685,88.9,234689,86.8
合計,331911,87.4,378937,88.5,330872,90.3,323651,88.7
