種別１,種別２,種別３,八丈町（台）,青ヶ島村（台）,計（台）
登録自動車,貨物車,,714,39,753
登録自動車,貨物車,普通車,241,23,264
登録自動車,貨物車,小型車,469,15,484
登録自動車,貨物車,被けん引車,4,1,5
登録自動車,乗合用,,23,0,23
登録自動車,乗合用,普通車,11,0,11
登録自動車,乗合用,小型車,12,0,12
登録自動車,乗用,,1801,20,1821
登録自動車,乗用,普通車,424,9,433
登録自動車,乗用,小型車,1377,11,1388
登録自動車,特種（殊）用用途,,309,37,346
登録自動車,特種（殊）用用途,特殊用途車,149,18,167
登録自動車,特種（殊）用用途,大型特殊車,160,19,179
計,,,2847,96,2943
その他,軽自動車,,4654,164,4818
その他,二輪車,,222,14,236
その他,原動機付自転車,,651,20,671
計,,,5527,198,5725
合計,,,8374,294,8668
普及,１世帯当たり,,1.92,2.88,1.94
普及,１人当たり,,1.09,1.86,1.11
