科別１,科別２,生徒数（人）,学級数（学級）,教職員数（人）,備考
全日制課程,普通科,131,9,57,
全日制課程,併合科（園芸家政科）,13,3,57,
定時制課程,,9,4,19,
計,,153,16,76,
