種別,東京都,島部,大島,三宅,八丈,小笠原
被保護世帯（世帯）,231331,447,165,73,188,21
被保護人員（人）,293689,544,203,91,228,22
保護人員率（‰）,21.6,21.2,16.3,33.7,30.0,7.5
