地域,総数（人）,労働力人口総数（人）,労働力人口就業者（人）,労働力人口完全失業者（人）,非労働力人口（人）
八丈町,7272,4407,4231,176,2849
青ヶ島村,165,140,139,1,24
合計,7437,4547,4370,177,2873
