種別１,種別２,２４年１月から１２月金額（千円）,２４年１月から１２月（％）,２５年１月から１２月金額（千円）,２５年１月から１２月（％）,前年比（％）
農産物,総額,1883083,-,1795574,-,-
農産物,花き園芸品,1609248,85.5,1547571,86.2,-3.8
農産物,農作物,250813,13.3,228536,12.7,-8.9
農産物,畜産物,23022,1.2,19467,1.1,-15.4
