地区,世帯数（世帯）,世帯数（世帯）（平成１８年１月１日現在）,人口男（人）,人口男（人）（平成１８年１月１日現在）,人口女（人）,人口女（人）（平成１８年１月１日現在）,人口計（人）,人口計（人）（平成１８年１月１日現在）
八丈町,4447,4710,3872,4452,3962,4383,7834,8835
三根地区,2075,2139,1810,2022,1858,1975,3668,3997
大賀郷地区,1482,1576,1283,1475,1308,1431,2591,2906
樫立地区,303,323,269,298,263,312,532,610
中之郷地区,380,427,348,429,366,424,714,853
末吉地区,207,245,162,228,167,241,329,469
青ヶ島村,109,117,96,121,70,77,166,198
合計,4556,4827,3968,4573,4032,4460,8000,9033
