会計,２３（億円）,２４（億円）,２５（億円）,２６（億円）,２７（億円）
一般会計,62360,61490,62640,66667,69520
特別会計,36390,36303,40265,42694,47045
公営企業会計,18892,19950,17933,24033,22140
合計,117642,117743,120838,133394,138706
