税目,２７調定額（千円）,２７収入額（千円）,２７歩合（％）
法人都民税,17250,16670,96.6
法人事業税,50370,48316,95.9
個人事業税,5094,4936,96.9
不動産取得税,8714,8249,94.7
自動車税,4987,4394,88.1
軽油引取税,8205,8205,100.0
狩猟税,83,83,100.0
計,94703,90853,95.9
個人都民税,263710,243890,92.5
合計,358413,334742,93.4
