種別年別１,種別年別２,２６年１月から１２月金額（千円）,２６年１月から１２月（％）,２７年１月から１２月金額（千円）,２７年１月から１２月（％）,前年比（％）
林産物,総額,-,-,-,-,-
林産物,木炭,-,-,-,-,-
林産物,椎茸,-,-,-,-,-
水産物,総額,7688,-,9290,-,-
水産物,魚類,7688,100.0,9290,100.0,20.8
水産物,貝類,-,-,-,-,-
水産物,藻類,-,-,-,-,-
