区分,２４（千円）,２５（千円）,２６（千円）,２７（千円）,２８（千円）
道路,2945359,2800538,2998271,2841544,3011646
土砂災害対策・海岸,186242,83646,184203,135566,157531
合計,3131601,2884184,3182474,2977110,3169177
