町村別区分,申請件数（件）,取下げ件数（件）,却下件数（件）,保護開始（世帯）,保護開始（人員）,保護廃止（世帯）,保護廃止（人員）
八丈町,34,0,0,34,40,21,22
青ヶ島村,0,0,0,0,0,0,0
合計,34,0,0,34,40,21,22
