種別１,種別２,大学進学（人）,大学進学（％）,各種進学（人）,各種進学（％）,就職進学（人）,就職進学（％）,就職（人）,就職（％）,その他（人）,その他（％）,合計（人）
全日制課程,普通科,21,40.4,15,28.8,－,－,16,30.8,－,－,52
全日制課程,併合科（園芸・家政）,－,－,－,－,－,－,1,100.0,－,－,1
定時制課程,,－,－,－,－,－,－,3,50.0,3,50.0,6
合計,,21,35.6,15,25.4,－,－,20,33.9,3,5.1,59
大学・各種学校の計,,36,61.0,36,61.0,－,－,－,－,－,－,－
