種別１,種別２,２４年１月から１２月金額（千円）,２４年１月から１２月（％）,２５年１月から１２月金額（千円）,２５年１月から１２月（％）,前年比（％）
農産物,総額,32249,-,33097,-,-
農産物,花き園芸品,7780,24.1,7419,22.4,-4.6
農産物,農作物,19852,61.6,20371,61.5,2.6
農産物,畜産物,4617,14.3,5307,16.0,14.9
