"性別","～19歳[人]","20～29歳[人]","30～39歳[人]","40～49歳[人]","50～59歳[人]","60～65歳[人]","計[人]"
"男","0","211","237","203","314","102","1067"
"女","2","306","282","262","268","61","1181"
"合計","2","517","519","465","582","163","2248"

"令和2年度港区行政資料集　男女別年齢層別職員数（再任用短時間勤務職員を含む）","Ver202004",,,,,,
