 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,364,767","60,300,782","1,108,510","8,769,654","1,067,137","8,426,979","3,057,582","23,932,312","2,941,763","22,992,146","1,189,567","10,543,294","2,009,108","17,055,522"
農水産品,,"455,345","3,983,582","17,305","247,405","17,301","246,383","409,677","3,477,427","354,718","2,895,546","16,095","157,072","12,268","101,678"
1,麦,"15,299","246,116",-,15,-,15,"6,784","197,151","1,680","18,444","1,385","10,196","7,130","38,754"
2,米,"4,418","50,132",203,"1,769",203,"1,769","1,185","18,343","1,185","18,343","1,830","20,860","1,200","9,160"
3,とうもろこし,911,"4,403",-,60,-,60,580,"3,772",580,"3,772",331,571,-,-
4,豆類,"17,046","132,892",6,264,6,264,"14,305","117,179","14,305","117,179","2,250","12,549",485,"2,900"
5,その他雑穀,345,"5,294",-,-,-,-,300,"4,254",300,"4,254",40,895,5,145
6,野菜・果物,"156,106","1,417,052",982,"15,168",978,"15,164","147,870","1,316,019","99,383","914,213","5,499","58,213","1,755","27,652"
7,綿花,30,372,-,-,-,-,30,287,30,287,-,85,-,-
8,その他農産品,"19,529","167,576",494,"4,790",494,"4,790","18,670","153,068","18,670","153,068",180,"8,338",185,"1,380"
9,羊毛,15,546,-,-,-,-,15,444,15,444,-,102,-,-
10,その他畜産品,"153,026","1,148,371","2,845","22,866","2,845","22,866","147,033","1,102,058","147,033","1,102,058","2,553","19,547",595,"3,900"
11,水産品,"88,620","810,828","12,775","202,473","12,775","201,455","72,905","564,852","71,537","563,484","2,027","25,716",913,"17,787"
林産品,,"105,693","868,534","1,506","16,688","1,506","16,688","92,396","767,892","82,887","677,428","9,749","64,887","2,042","19,067"
12,原木,208,"4,941",-,"2,338",-,"2,338",208,"2,486",208,"2,486",-,117,-,-
13,製材,"91,860","745,047","1,444","13,872","1,444","13,872","80,844","664,271","71,335","573,807","8,414","55,722","1,158","11,182"
14,樹脂類,"8,085","67,664",30,221,30,221,"6,345","54,576","6,345","54,576",990,"6,950",720,"5,917"
15,木材チップ,"1,295","9,835",21,105,21,105,"1,200","9,173","1,200","9,173",5,23,69,534
16,その他林産品,514,"3,532",-,30,-,30,109,283,109,283,325,"1,825",80,"1,394"
17,薪炭,"3,731","37,515",11,122,11,122,"3,690","37,103","3,690","37,103",15,250,15,40
鉱産品,,"475,493","4,192,332","1,425","12,015","1,425","12,015","62,168","314,542","24,768","208,117",738,"37,409","411,162","3,828,366"
18,石炭,"40,595","111,435",-,-,-,-,"40,595","101,017","3,195","26,217",-,255,-,"10,163"
19,鉄鉱石,21,124,21,31,21,31,-,93,-,93,-,-,-,-
20,金属鉱,775,"9,758",-,6,-,6,615,"6,371",615,"6,371",160,"3,381",-,-
21,砂利・砂,"305,386","2,916,123",75,484,75,484,"1,597","18,729","1,597","18,729",154,"24,082","303,560","2,872,828"
22,石材,"81,888","768,391",471,"1,937",471,"1,937","7,966","63,368","7,966","63,368",195,"2,283","73,256","700,803"
23,原油,375,"1,718",-,-,-,-,375,"1,680",375,"1,680",-,38,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"31,006","240,986",-,-,-,-,15,"1,424",15,"1,424",35,830,"30,956","238,732"
26,原塩,865,"9,454",-,22,-,22,665,"7,071",665,"7,071",-,101,200,"2,260"
27,非金属鉱物,"14,582","134,343",858,"9,535",858,"9,535","10,340","114,789","10,340","83,164",194,"6,439","3,190","3,580"
金属機械工業品,,"2,394,162","19,756,346","443,002","3,545,132","436,362","3,514,456","688,437","5,545,332","683,593","5,497,874","650,529","5,642,359","612,194","5,023,523"
28,鉄鋼,"9,792","77,783","5,206","38,857","2,194","23,698","3,781","31,635","3,781","28,431",150,626,655,"6,665"
29,鋼材,"117,765","1,034,416","22,107","185,220","22,107","185,169","9,846","78,382","7,256","65,830",970,"8,649","84,842","762,165"
