 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,364,767 ","60,300,782 ","4,166,092 ","1,108,510 ","3,057,582 ","32,701,966 ","8,769,654 ","23,932,312 ","3,198,675 ","1,189,567 ","2,009,108 ","27,598,816 ","10,543,294 ","17,055,522 "
公共計,"3,347,317 ","27,942,878 ","1,199,757 ","228,236 ","971,521 ","9,403,346 ","1,831,378 ","7,571,968 ","2,147,560 ","1,079,797 ","1,067,763 ","18,539,532 ","9,523,139 ","9,016,393 "
ドルフィン,"8,966 ","47,734 ",-,-,-,-,-,-,"8,966 ","8,966 ",-,"47,734 ","47,734 ",-
芝浦ふ頭,"53,756 ","521,460 ",-,-,-,-,-,-,"53,756 ","1,583 ","52,173 ","521,460 ","13,903 ","507,557 "
芝浦物揚場,"5,584 ","60,448 ",-,-,-,-,-,-,"5,584 ","4,076 ","1,508 ","60,448 ","41,032 ","19,416 "
日の出ふ頭,"3,165 ","25,230 ",-,-,-,-,-,-,"3,165 ",-,"3,165 ","25,230 ",610 ,"24,620 "
竹芝ふ頭,"8,107 ","54,171 ",-,-,-,-,-,-,"8,107 ","5,671 ","2,436 ","54,171 ","35,938 ","18,233 "
品川岸壁,"627,917 ","5,234,194 ","369,007 ","86,869 ","282,138 ","2,896,025 ","671,432 ","2,224,593 ","258,910 ","154,740 ","104,170 ","2,338,169 ","1,400,714 ","937,455 "
 品川コンテナ,"353,270 ","2,818,720 ","353,210 ","83,924 ","269,286 ","2,818,653 ","658,288 ","2,160,365 ",60 ,-,60 ,67 ,7 ,60 
 品川外貿,"15,797 ","77,372 ","15,797 ","2,945 ","12,852 ","77,372 ","13,144 ","64,228 ",-,-,-,-,-,-
 品川内貿,"258,850 ","2,338,102 ",-,-,-,-,-,-,"258,850 ","154,740 ","104,110 ","2,338,102 ","1,400,707 ","937,395 "
月島ふ頭,471 ,"11,129 ",-,-,-,-,-,-,471 ,240 ,231 ,"11,129 ","4,842 ","6,287 "
10号西岸壁,"447,980 ","4,149,683 ",-,-,-,-,-,-,"447,980 ","263,411 ","184,569 ","4,149,683 ","2,419,778 ","1,729,905 "
10号東岸壁,"32,772 ","250,975 ",-,-,-,-,-,-,"32,772 ",50 ,"32,722 ","250,975 ",967 ,"250,008 "
東京港フェリーふ頭,"925,435 ","7,199,700 ",-,-,-,-,-,-,"925,435 ","475,340 ","450,095 ","7,199,700 ","3,758,900 ","3,440,800 "
辰巳ふ頭,"28,404 ","245,509 ",-,-,-,-,-,-,"28,404 ","11,718 ","16,686 ","245,509 ","99,366 ","146,143 "
青海コンテナふ頭（公共）,"779,234 ","6,119,606 ","763,582 ","141,367 ","622,215 ","6,006,360 ","1,158,928 ","4,847,432 ","15,652 ","8,398 ","7,254 ","113,246 ","73,530 ","39,716 "
大井水産物ふ頭,"1,368 ","2,589 ","1,368 ",-,"1,368 ","2,386 ","1,018 ","1,368 ",-,-,-,203 ,60 ,143 
大井食品ふ頭（OL）,"11,939 ","215,246 ","5,104 ",-,"5,104 ","178,707 ",-,"178,707 ","6,835 ",30 ,"6,805 ","36,539 ",30 ,"36,509 "
大井食品ふ頭（OM）,"11,330 ","84,799 ","11,330 ",-,"11,330 ","84,799 ",-,"84,799 ",-,-,-,-,-,-
大井食品ふ頭（ON）,"5,460 ","13,932 ","5,460 ",-,"5,460 ","13,932 ",-,"13,932 ",-,-,-,-,-,-
若洲内貿ふ頭,"41,676 ","427,280 ",-,-,-,-,-,-,"41,676 ","31,908 ","9,768 ","427,280 ","309,472 ","117,808 "
15号地木材ふ頭,"5,381 ","73,660 ","5,381 ",-,"5,381 ","69,982 ",-,"69,982 ",-,-,-,"3,678 ","3,678 ",-
若洲建材ふ頭,"39,014 ","405,423 ",-,-,-,-,-,-,"39,014 ",-,"39,014 ","405,423 ","18,141 ","387,282 "
大井建材ふ頭,"118,758 ","1,016,745 ",-,-,-,-,-,-,"118,758 ",-,"118,758 ","1,016,745 ","1,800 ","1,014,945 "
城南島建設発生土ふ頭,"79,100 ","789,200 ",-,-,-,-,-,-,"79,100 ","79,100 ",-,"789,200 ","789,200 ",-
中央防波堤内側ばら物ふ頭,"43,809 ","183,060 ","38,525 ",-,"38,525 ","151,155 ",-,"151,155 ","5,284 ",-,"5,284 ","31,905 ","5,658 ","26,247 "
中央防波堤内側建設発生土ふ頭,-,"170,204 ",-,-,-,-,-,-,-,-,-,"170,204 ","170,204 ",-
中央防波堤内側内貿ふ頭,"67,691 ","639,151 ",-,-,-,-,-,-,"67,691 ","34,566 ","33,125 ","639,151 ","327,582 ","311,569 "
その他,-,"1,750 ",-,-,-,-,-,-,-,-,-,"1,750 ",-,"1,750 "
東京港埠頭㈱計,"2,869,430 ","22,769,176 ","2,752,443 ","818,503 ","1,933,940 ","21,667,083 ","6,609,235 ","15,057,848 ","116,987 ","53,724 ","63,263 ","1,102,093 ","567,741 ","534,352 "
青海コンテナふ頭(埠頭㈱),"584,105 ","4,779,629 ","571,580 ","122,390 ","449,190 ","4,701,839 ","1,024,998 ","3,676,841 ","12,525 ","12,525 ",-,"77,790 ","73,718 ","4,072 "
お台場ライナーふ頭,"71,017 ","590,940 ","54,692 ","37,387 ","17,305 ","469,941 ","323,049 ","146,892 ","16,325 ",420 ,"15,905 ","120,999 ","11,272 ","109,727 "
大井コンテナふ頭,"2,214,308 ","17,398,607 ","2,126,171 ","658,726 ","1,467,445 ","16,495,303 ","5,261,188 ","11,234,115 ","88,137 ","40,779 ","47,358 ","903,304 ","482,751 ","420,553 "
民間計,"1,148,020 ","9,588,728 ","213,892 ","61,771 ","152,121 ","1,631,537 ","329,041 ","1,302,496 ","934,128 ","56,046 ","878,082 ","7,957,191 ","452,414 ","7,504,777 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
