 3-(1)海上出入貨物月別前年比較表,,,,,,,,,,(単位：トン）,,,,,,,,,,(単位：トン）
月,平成30年(2018年),,,,,,,,,,平成29年(2017年),,,,,,,,,
,合計,外貿,,,（外貿コンテナ）,,,内貿,,,合計,外貿,,,（外貿コンテナ）,,,内貿,,
,,計,輸出,輸入,計,輸出,輸入,計,移出,移入,,計,輸出,輸入,計,輸出,輸入,計,移出,移入
１月　,"7,134,542","3,972,814","906,141","3,066,673","3,841,822","877,238","2,964,584","3,161,728","1,232,454","1,929,274","6,990,458","3,944,531","915,431","3,029,100","3,786,228","877,148","2,909,080","3,045,927","1,153,964","1,891,963"
,102.1%,100.7%,99.0%,101.2%,101.5%,100.0%,101.9%,103.8%,106.8%,102.0%,,,,,,,,,,
２月　,"7,396,227","3,972,839","1,042,705","2,930,134","3,844,838","995,923","2,848,915","3,423,388","1,298,038","2,125,350","6,697,580","3,462,486","1,148,147","2,314,339","3,376,853","1,123,236","2,253,617","3,235,094","1,209,607","2,025,487"
,110.4%,114.7%,90.8%,126.6%,113.9%,88.7%,126.4%,105.8%,107.3%,104.9%,,,,,,,,,,
３月　,"7,627,504","3,830,576","1,144,444","2,686,132","3,684,921","1,120,064","2,564,857","3,796,928","1,487,102","2,309,826","8,270,979","4,648,456","1,298,732","3,349,724","4,532,021","1,252,322","3,279,699","3,622,523","1,424,775","2,197,748"
,92.2%,82.4%,88.1%,80.2%,81.3%,89.4%,78.2%,104.8%,104.4%,105.1%,,,,,,,,,,
４月　,"7,840,215","4,245,494","1,157,668","3,087,826","3,997,288","1,094,295","2,902,993","3,594,721","1,383,274","2,211,447","7,627,564","4,158,993","1,212,772","2,946,221","4,000,332","1,160,515","2,839,817","3,468,571","1,362,706","2,105,865"
,102.8%,102.1%,95.5%,104.8%,99.9%,94.3%,102.2%,103.6%,101.5%,105.0%,,,,,,,,,,
５月　,"7,494,854","4,164,013","1,065,224","3,098,789","4,004,103","1,028,948","2,975,155","3,330,841","1,268,768","2,062,073","7,329,062","4,125,303","1,045,923","3,079,380","3,970,636","1,012,455","2,958,181","3,203,759","1,282,722","1,921,037"
,102.3%,100.9%,101.8%,100.6%,100.8%,101.6%,100.6%,104.0%,98.9%,107.3%,,,,,,,,,,
６月　,"7,760,119","4,190,902","1,223,614","2,967,288","4,008,943","1,156,956","2,851,987","3,569,217","1,372,420","2,196,797","7,624,714","4,154,705","1,135,145","3,019,560","3,997,386","1,093,770","2,903,616","3,470,009","1,376,717","2,093,292"
,101.8%,100.9%,107.8%,98.3%,100.3%,105.8%,98.2%,102.9%,99.7%,104.9%,,,,,,,,,,
７月　,"7,682,554","4,159,236","1,121,348","3,037,888","4,028,310","1,086,418","2,941,892","3,523,318","1,311,671","2,211,647","7,839,805","4,321,954","1,142,363","3,179,591","4,114,963","1,106,346","3,008,617","3,517,851","1,387,312","2,130,539"
,98.0%,96.2%,98.2%,95.5%,97.9%,98.2%,97.8%,100.2%,94.5%,103.8%,,,,,,,,,,
８月　,"7,364,767","4,166,092","1,108,510","3,057,582","4,008,900","1,067,137","2,941,763","3,198,675","1,189,567","2,009,108","7,246,400","4,110,217","1,039,495","3,070,722","3,964,062","995,303","2,968,759","3,136,183","1,245,815","1,890,368"
,101.6%,101.4%,106.6%,99.6%,101.1%,107.2%,99.1%,102.0%,95.5%,106.3%,,,,,,,,,,
９月　,-,-,-,-,-,-,-,-,-,-,"7,651,290","4,173,531","1,133,908","3,039,623","4,021,490","1,093,056","2,928,434","3,477,759","1,356,197","2,121,562"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１０月　,-,-,-,-,-,-,-,-,-,-,"7,294,218","4,038,989","1,065,038","2,973,951","3,850,649","992,971","2,857,678","3,255,229","1,269,451","1,985,778"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１１月　,-,-,-,-,-,-,-,-,-,-,"8,184,212","4,592,500","1,154,444","3,438,056","4,368,157","1,071,638","3,296,519","3,591,712","1,376,175","2,215,537"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１２月　,-,-,-,-,-,-,-,-,-,-,"8,023,864","4,384,491","1,217,189","3,167,302","4,169,122","1,171,614","2,997,508","3,639,373","1,346,340","2,293,033"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
累計,"60,300,782","32,701,966","8,769,654","23,932,312","31,419,125","8,426,979","22,992,146","27,598,816","10,543,294","17,055,522","90,780,146","50,116,156","13,508,587","36,607,569","48,151,899","12,950,374","35,201,525","40,663,990","15,791,781","24,872,209"
,101.1%,99.3%,98.1%,99.8%,99.0%,97.7%,99.4%,103.4%,101.0%,104.9%,,,,,,,,,,
前年累計,"59,626,562","32,926,645","8,938,008","23,988,637","31,742,481","8,621,095","23,121,386","26,699,917","10,443,618","16,256,299",,,,,,,,,,
増(－)減,"674,220","-224,679","-168,354","-56,325","-323,356","-194,116","-129,240","898,899","99,676","799,223",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
