 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,230,30,230,
,総トン数,,"379,080","2,906,280","379,080","2,906,280",
取扱貨物,計,計,"925,435","7,199,700","925,435","7,199,700",
,,出荷,"475,340","3,758,900","475,340","3,758,900",
,,入荷,"450,095","3,440,800","450,095","3,440,800",
取　扱　台　数,バ　ス,計,8,102,8,102,
,,出荷,4,54,4,54,
,,入荷,4,48,4,48,
,トラック,計,"8,234","64,711","8,234","64,711",
,,出荷,"4,235","34,046","4,235","34,046",
,,入荷,"3,999","30,665","3,999","30,665",
,乗用車,計,"5,453","42,021","5,453","42,021",
,,出荷,"3,181","25,077","3,181","25,077",
,,入荷,"2,272","16,944","2,272","16,944",
乗降人員,計,,"5,893","24,523","5,893","24,523",
,乗船,,"2,941","12,332","2,941","12,332",
,降船,,"2,952","12,191","2,952","12,191",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
