< 輸  入 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,衣服・身廻品・はきもの,電気機械,製造食品,その他化学工業品,家具装備品
,"2,941,763",100.0%,"431,692","262,025","217,343","190,704","166,619"
,99.1%,,97.3%,112.6%,101.2%,103.2%,101.3%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,その他畜産品,動植物性製造飼肥料,製材,製造食品,その他化学工業品
,"356,482",12.1%,"70,603","69,600","40,733","34,305","17,786"
,103.4%,,110.5%,112.7%,121.8%,87.3%,91.4%
北米東岸(カリビア海含む),,,その他畜産品,紙・パ　ル　プ,野菜・果物,その他化学工業品,製造食品
,"79,306",2.7%,"18,292","13,326","7,348","5,732","5,218"
,78.5%,,73.6%,53.3%,143.1%,99.7%,170.5%
北欧・地中海,,,飲料,製造食品,その他化学工業品,産業機械,自動車部品
,"175,753",6.0%,"25,073","24,010","17,032","12,903","8,921"
,104.8%,,110.1%,129.0%,103.1%,171.0%,190.3%
南米西岸,,,野菜・果物,飲料,その他畜産品,水産品,製造食品
,"38,296",1.3%,"11,041","6,920","4,717","4,554","1,567"
,71.9%,,78.7%,57.6%,130.8%,94.0%,75.3%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,その他畜産品,製材,製造食品,野菜・果物,木製品
,"65,507",2.2%,"13,074","10,962","8,608","5,730","3,877"
,343.3%,,849.0%,343.3%,221.6%,218.3%,114.1%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,衣服・身廻品・はきもの,電気機械,その他化学工業品,家具装備品,製造食品
,"1,306,395",44.4%,"213,336","157,898","103,443","94,583","73,555"
,114.9%,,117.4%,136.0%,117.3%,119.7%,106.0%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,その他化学工業品,製造食品,産業機械,飲料,電気機械
,"105,095",3.6%,"17,288","12,921","6,142","5,843","5,747"
,94.3%,,125.7%,105.3%,103.9%,59.9%,124.3%
中国(香港含む),,,衣服・身廻品・はきもの,電気機械,製造食品,家具装備品,野菜・果物
,"814,929",27.7%,"202,713","86,482","57,159","55,912","50,245"
,80.3%,,82.8%,83.5%,87.3%,78.3%,116.3%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
