 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,364,767","2,298,077","5,066,690","60,300,782","19,312,948","40,987,834","4,974,631","1,606,829","3,367,802","40,198,463","13,377,113","26,821,350"
外航計,"4,166,092","1,108,510","3,057,582","32,701,966","8,769,654","23,932,312","4,049,344","1,071,123","2,978,221","31,712,248","8,444,266","23,267,982"
外航定期計,"4,049,344","1,071,123","2,978,221","31,736,381","8,444,705","23,291,676","4,049,344","1,071,123","2,978,221","31,712,248","8,444,266","23,267,982"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"537,649","178,172","359,477","4,396,425","1,435,493","2,960,932","537,649","178,172","359,477","4,396,425","1,435,493","2,960,932"
北米東岸(カリビア海含む),"134,880","55,574","79,306","1,145,136","402,213","742,923","134,880","55,574","79,306","1,145,136","402,213","742,923"
北欧・地中海,"293,172","117,419","175,753","2,035,280","891,450","1,143,830","293,172","117,419","175,753","2,035,280","891,450","1,143,830"
南米西岸,"40,240","1,944","38,296","405,902","10,351","395,551","40,240","1,944","38,296","405,902","10,351","395,551"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"78,342","8,425","69,917","543,093","84,678","458,415","78,342","8,425","69,917","543,093","84,678","458,415"
印パ･ペルシャ･ベンガル,-,-,-,"328,876","262,810","66,066",-,-,-,"328,876","262,810","66,066"
東南アジア,"1,808,774","475,070","1,333,704","12,868,983","3,391,079","9,477,904","1,808,774","475,070","1,333,704","12,852,701","3,390,640","9,462,061"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"148,068","41,553","106,515","1,294,243","357,389","936,854","148,068","41,553","106,515","1,294,243","357,389","936,854"
中国(香港含む),"1,008,219","192,966","815,253","8,718,443","1,609,242","7,109,201","1,008,219","192,966","815,253","8,710,592","1,609,242","7,101,350"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"116,748","37,387","79,361","965,585","324,949","640,636",-,-,-,-,-,-
内航計,"3,198,675","1,189,567","2,009,108","27,598,816","10,543,294","17,055,522","925,287","535,706","389,581","8,486,215","4,932,847","3,553,368"
内航定期計,"1,866,333","1,014,736","851,597","15,673,261","8,611,284","7,061,977","886,868","509,519","377,349","8,026,868","4,613,617","3,413,251"
北海道,"348,578","194,000","154,578","3,108,994","1,747,737","1,361,257","348,578","194,000","154,578","3,108,994","1,747,737","1,361,257"
東北,"33,047","17,537","15,510","262,849","129,957","132,892","33,047","17,537","15,510","244,005","122,181","121,824"
関東,"45,923","24,206","21,717","369,060","195,053","174,007",-,-,-,-,-,-
伊豆諸島,"8,107","5,671","2,436","56,571","35,938","20,633",-,-,-,-,-,-
中部,"12,370","2,465","9,905","84,617","13,187","71,430","12,370","2,465","9,905","82,399","13,187","69,212"
近畿,"4,617",198,"4,419","25,151","1,262","23,889","4,617",198,"4,419","25,151","1,262","23,889"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,302,096","683,121","618,975","10,836,123","5,796,361","5,039,762","376,661","207,781","168,880","3,636,423","2,037,461","1,598,962"
沖縄,"111,595","87,538","24,057","929,896","691,789","238,107","111,595","87,538","24,057","929,896","691,789","238,107"
内航不定期,"1,332,342","174,831","1,157,511","11,925,555","1,932,010","9,993,545","38,419","26,187","12,232","459,347","319,230","140,117"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
