今後指定予定ありとした１２自治体での想定施設,自治体数
○保育所,2
○老人施設・障害者施設・保育所など,1
○保育所・幼稚園,1
○福祉施設,1
○冷暖房完備の公共施設,1
○通常の避難所に配置,1
○特定の教室,1
○検討中,4
