区分,具体的な施設,施設数（か所）
◇一次避難所とした１自治体,・小中学校,77
◇一次避難所及び二次避難所とした２自治体,・小中学校,45
◇一次避難所及び二次避難所とした２自治体,・社会福祉施設,10
◇一次避難所及び二次避難所とした２自治体,・市立会館等,12
◇二次避難所とした１２自治体,・小中学校,1
◇二次避難所とした１２自治体,・社会福祉施設・老人施設等,47
◇二次避難所とした１２自治体,・保育所,28
◇二次避難所とした１２自治体,・児童館,34
◇二次避難所とした１２自治体,・学童保育所,11
◇二次避難所とした１２自治体,・幼稚園,36
◇二次避難所とした１２自治体,・地区センター等の会議室,26
◇二次避難所とした１２自治体,・都立養護学校,1
◇二次避難所とした１２自治体,・その他（文化センター・協定ホテルロビー等）,29
