 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"309,175","122,906","283,710","98,634","85,928","97,689","197,782",945,"25,465","24,272","10,792","20,702","14,673","3,570"
,99.3%,107.4%,98.9%,108.3%,102.6%,108.3%,97.4%,106.9%,104.1%,103.6%,78.1%,95.7%,137.8%,199.6%
,"1,167,643","464,971","1,080,031","386,951","300,122","384,051","779,909","2,900","87,612","78,020","41,300","70,008","46,312","8,012"
,96.4%,103.5%,97.2%,107.5%,95.0%,107.9%,98.1%,70.3%,87.7%,87.5%,73.0%,85.6%,106.8%,108.4%
品川岸壁,"24,878","18,688","24,878","16,266","5,776","16,209","19,102",57,-,"2,422",-,"2,362",-,60
,94.0%,146.3%,94.0%,153.8%,82.5%,155.6%,98.2%,35.0%,-,110.4%,-,107.7%,-,-
,"96,195","64,450","95,871","54,762","20,847","54,378","75,024",384,324,"9,688",-,"9,472",324,216
,97.2%,119.6%,96.9%,121.0%,88.2%,122.2%,99.6%,51.5%,-,111.9%,-,111.2%,-,154.3%
10号西岸壁,"4,382","1,318",-,-,-,-,-,-,"4,382","1,318","2,615",-,"1,767","1,318"
,107.4%,306.5%,-,-,-,-,-,-,107.4%,306.5%,107.1%,-,107.8%,306.5%
,"15,377","3,029",-,-,-,-,-,-,"15,377","3,029","9,368",39,"6,009","2,990"
,99.0%,216.7%,-,-,-,-,-,-,99.0%,216.7%,97.7%,-,101.1%,213.9%
青海コンテナふ頭（公共）,"56,286","26,799","54,561","20,366","11,914","20,292","42,647",74,"1,725","6,433",953,"6,412",772,21
,96.2%,89.4%,95.8%,83.2%,87.9%,83.2%,98.2%,87.1%,111.3%,117.0%,92.5%,121.8%,148.5%,8.9%
,"204,940","108,528","197,636","86,162","39,798","85,390","157,838",772,"7,304","22,366","4,305","22,282","2,999",84
,98.3%,99.6%,97.8%,92.5%,94.7%,92.4%,98.6%,108.4%,115.9%,141.0%,96.4%,145.9%,163.5%,14.3%
青海コンテナふ頭(埠頭㈱),"35,914","20,474","35,441","19,275","8,746","19,252","26,695",23,473,"1,199",377,"1,199",96,-
,84.4%,91.9%,84.1%,105.1%,89.3%,105.6%,82.6%,20.2%,110.0%,30.4%,87.7%,30.4%,-,-
,"149,440","77,344","147,184","73,106","34,267","73,013","112,917",93,"2,256","4,238","1,686","4,238",570,-
,90.4%,92.6%,89.8%,104.7%,88.9%,105.5%,90.1%,13.7%,165.8%,30.9%,135.4%,31.3%,491.4%,-
お台場ライナーふ頭,246,-,246,-,-,-,246,-,-,-,-,-,-,-
,69.3%,-,69.3%,-,-,-,69.3%,-,-,-,-,-,-,-
,569,140,569,140,-,-,569,140,-,-,-,-,-,-
,80.7%,341.5%,80.7%,341.5%,-,-,80.7%,341.5%,-,-,-,-,-,-
大井コンテナふ頭,"167,027","44,819","155,958","35,425","56,054","34,635","99,904",790,"11,069","9,394","2,221","9,331","8,848",63
,103.7%,105.2%,103.7%,108.4%,109.7%,107.4%,100.7%,175.2%,103.3%,94.9%,42.5%,95.8%,161.2%,39.4%
,"620,511","174,208","587,349","143,686","193,821","142,177","393,528","1,509","33,162","30,522","9,087","30,323","24,075",199
,94.9%,100.7%,96.9%,112.5%,94.9%,112.9%,97.9%,82.9%,70.0%,67.4%,37.5%,70.9%,103.8%,8.0%
その他,"20,442","10,808","12,626","7,302","3,438","7,301","9,188",1,"7,816","3,506","4,626","1,398","3,190","2,108"
,111.7%,168.2%,119.0%,147.3%,151.0%,149.4%,110.3%,1.4%,101.7%,238.8%,98.6%,277.4%,106.5%,218.7%
,"80,611","37,272","51,422","29,095","11,389","29,093","40,033",2,"29,189","8,177","16,854","3,654","12,335","4,523"
,117.9%,131.8%,131.8%,121.3%,149.6%,122.0%,127.4%,1.6%,99.4%,189.9%,98.7%,217.5%,100.4%,172.2%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
