 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"309,176","122,906","1,167,644","464,969","96,720","118,391","341,422","454,059","212,456","4,515","826,222","10,910"
,99.3%,107.4%,96.4%,103.5%,99.1%,105.9%,91.6%,103.8%,99.4%,169.0%,98.6%,94.7%
外航計,"283,710","98,634","1,080,031","386,951","85,928","97,689","300,122","384,051","197,782",945,"779,909","2,900"
,98.9%,108.3%,97.2%,107.5%,102.6%,108.3%,95.0%,107.9%,97.4%,106.9%,98.1%,70.3%
外航定期計,"283,710","98,634","1,080,031","386,951","85,928","97,689","300,122","384,051","197,782",945,"779,909","2,900"
,98.9%,108.3%,97.2%,107.5%,102.6%,108.3%,95.0%,107.9%,97.4%,106.9%,98.1%,70.3%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"42,203","15,201","153,697","49,978","14,767","14,734","55,377","48,953","27,436",467,"98,320","1,025"
,96.1%,98.7%,96.9%,91.2%,103.4%,96.1%,95.3%,91.2%,92.6%,639.7%,97.9%,89.2%
北米東岸(カリビア海含む),"8,473","3,192","37,040","10,849","2,312","3,186","15,720","10,799","6,161",6,"21,320",50
,78.6%,165.9%,80.5%,127.3%,47.2%,177.3%,79.9%,129.4%,104.8%,4.7%,81.1%,28.2%
北欧・地中海,"26,817","1,593","76,367","9,717","16,771","1,570","38,106","9,586","10,046",23,"38,261",131
,155.0%,46.8%,104.4%,105.5%,226.1%,46.8%,113.2%,106.7%,101.6%,51.1%,97.0%,58.0%
南米西岸,"2,961","1,913","12,350","8,643",375,"1,667","1,697","8,348","2,586",246,"10,653",295
,66.2%,790.5%,69.1%,318.5%,3125.0%,833.5%,339.4%,332.9%,58.0%,585.7%,61.3%,143.2%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
