 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,605,967","29,393,818","1,174,212","4,113,832","1,124,826","3,939,672","3,025,910","11,728,033","2,872,397","11,289,281","1,263,957","5,015,205","2,141,888","8,536,748"
農水産品,,"507,020","1,859,677","33,082","86,575","33,082","86,530","449,186","1,655,833","365,286","1,395,866","11,216","51,574","13,536","65,695"
1,麦,"31,216","100,583",-,-,-,-,"25,699","75,100","2,557","9,045",785,"3,286","4,732","22,197"
2,米,"6,390","24,192",600,"1,297",600,"1,297","1,995","7,000","1,995","7,000","2,720","11,285","1,075","4,610"
3,とうもろこし,822,"4,007",-,-,-,-,741,"3,698",741,"3,698",81,309,-,-
4,豆類,"15,460","55,431",-,152,-,152,"14,540","50,989","14,540","50,989",505,"3,060",415,"1,230"
5,その他雑穀,405,"2,815",-,-,-,-,345,"2,235",345,"2,235",40,470,20,110
6,野菜・果物,"180,021","647,227","1,124","11,123","1,124","11,078","171,482","599,168","110,724","405,256","4,363","19,522","3,052","17,414"
7,綿花,-,159,-,-,-,-,-,129,-,129,-,-,-,30
8,その他農産品,"20,750","84,306","1,116","3,761","1,116","3,761","19,380","79,033","19,380","79,033",179,897,75,615
9,羊毛,40,199,-,-,-,-,35,178,35,178,5,21,-,-
10,その他畜産品,"152,304","555,254","3,534","12,853","3,534","12,853","145,143","528,390","145,143","528,390","1,315","6,345","2,312","7,666"
11,水産品,"99,612","385,504","26,708","57,389","26,708","57,389","69,826","309,913","69,826","309,913","1,223","6,379","1,855","11,823"
林産品,,"94,780","378,679","2,908","7,558","2,202","6,852","84,313","338,092","78,311","305,758","5,505","22,179","2,054","10,850"
12,原木,670,"2,401",470,"1,403",470,"1,403",120,896,120,896,-,22,80,80
13,製材,"78,992","323,341","2,392","5,990","1,686","5,284","71,273","291,329","65,271","258,995","4,440","18,422",887,"7,600"
14,樹脂類,"8,516","31,074",30,93,30,93,"7,441","26,231","7,441","26,231",640,"2,915",405,"1,835"
15,木材チップ,"1,001","3,043",16,61,16,61,840,"2,663",840,"2,663",-,10,145,309
16,その他林産品,"1,057","2,251",-,-,-,-,105,555,105,555,420,730,532,966
17,薪炭,"4,544","16,569",-,11,-,11,"4,534","16,418","4,534","16,418",5,80,5,60
鉱産品,,"520,415","2,041,886","2,439","7,198","2,439","7,198","70,917","192,495","26,286","104,582","14,652","41,854","432,407","1,800,339"
18,石炭,"4,071","62,371",-,37,-,37,"4,071","62,314","4,071","19,032",-,-,-,20
19,鉄鉱石,11,45,-,-,-,-,11,45,11,45,-,-,-,-
20,金属鉱,460,"1,678",-,3,-,3,450,"1,500",450,"1,500",10,175,-,-
21,砂利・砂,"328,131","1,378,274",154,283,154,283,"1,726","7,880","1,726","7,880","7,031","19,044","319,220","1,351,067"
22,石材,"90,167","359,344",486,"1,391",486,"1,391","8,016","30,318","8,016","30,318",150,788,"81,515","326,847"
23,原油,300,825,-,-,-,-,300,825,300,825,-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"24,316","86,025",-,-,-,-,150,847,150,847,140,300,"24,026","84,878"
26,原塩,"1,308","4,871",2,10,2,10,"1,246","3,761","1,246","3,761",-,20,60,"1,080"
27,非金属鉱物,"71,651","148,453","1,797","5,474","1,797","5,474","54,947","85,005","10,316","40,374","7,321","21,527","7,586","36,447"
金属機械工業品,,"2,580,515","9,966,027","498,291","1,730,968","495,113","1,720,754","699,014","2,816,323","692,760","2,778,220","704,914","2,835,556","678,296","2,583,180"
28,鉄鋼,"12,171","34,862","5,272","15,158","2,201","9,008","5,284","13,804","2,854","9,075",285,840,"1,330","5,060"
29,鋼材,"131,724","517,823","21,745","82,152","21,745","82,138","10,867","51,479","10,611","39,786","1,115","5,059","97,997","379,133"
