 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,115,30,115,
,総トン数,,"379,080","1,453,140","379,080","1,453,140",
取扱貨物,計,計,"954,780","3,661,325","954,780","3,661,325",
,,出荷,"475,065","1,873,085","475,065","1,873,085",
,,入荷,"479,715","1,788,240","479,715","1,788,240",
取　扱　台　数,バ　ス,計,3,31,3,31,
,,出荷,-,13,-,13,
,,入荷,3,18,3,18,
,トラック,計,"8,452","32,988","8,452","32,988",
,,出荷,"4,232","17,031","4,232","17,031",
,,入荷,"4,220","15,957","4,220","15,957",
,乗用車,計,"6,252","21,870","6,252","21,870",
,,出荷,"3,399","12,978","3,399","12,978",
,,入荷,"2,853","8,892","2,853","8,892",
乗降人員,計,,"3,887","12,800","3,887","12,800",
,乗船,,"2,133","6,721","2,133","6,721",
,降船,,"1,754","6,079","1,754","6,079",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
