< 輸  入 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,衣服・身廻品・はきもの,電気機械,製造食品,その他化学工業品,家具装備品
,"2,872,397",100.0%,"361,988","257,978","212,569","186,912","172,149"
,98.9%,,98.7%,106.0%,100.5%,96.3%,100.4%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,動植物性製造飼肥料,その他畜産品,製造食品,製材,その他化学工業品
,"403,889",14.1%,"73,614","71,981","44,260","34,647","17,755"
,93.9%,,92.7%,100.0%,102.3%,89.2%,75.6%
北米東岸(カリビア海含む),,,その他畜産品,紙・パ　ル　プ,野菜・果物,その他化学工業品,製造食品
,"90,430",3.1%,"16,532","13,282","12,669","9,950","3,249"
,106.9%,,86.2%,111.2%,123.2%,143.5%,93.0%
北欧・地中海,,,飲料,製造食品,その他化学工業品,産業機械,家具装備品
,"143,237",5.0%,"20,280","15,353","15,193","10,007","6,723"
,106.0%,,128.1%,92.4%,101.1%,125.7%,115.3%
南米西岸,,,野菜・果物,飲料,水産品,その他畜産品,製造食品
,"36,811",1.3%,"12,024","6,849","5,314","3,361","1,636"
,57.0%,,67.3%,47.6%,71.8%,75.0%,198.8%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,野菜・果物,製造食品,木製品,その他畜産品,製材
,"23,070",0.8%,"9,258","4,386","2,272","2,176","2,064"
,36.6%,,141.5%,52.9%,45.3%,18.7%,18.9%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,衣服・身廻品・はきもの,電気機械,その他化学工業品,家具装備品,製造食品
,"1,211,392",42.2%,"164,129","144,305","98,413","88,380","75,151"
,113.4%,,111.0%,123.5%,108.3%,110.3%,113.5%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,その他化学工業品,製造食品,産業機械,木製品,飲料
,"117,464",4.1%,"18,800","17,595","7,339","6,257","5,973"
,96.0%,,90.5%,109.7%,98.1%,111.4%,61.5%
中国(香港含む),,,衣服・身廻品・はきもの,電気機械,家具装備品,製造食品,金属製品
,"846,104",29.5%,"183,481","100,923","67,985","50,939","49,112"
,91.1%,,90.1%,90.4%,89.2%,90.1%,122.1%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
