 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,605,967","2,438,169","5,167,798","29,393,818","9,129,037","20,264,781","5,163,764","1,753,114","3,410,650","19,719,533","6,425,397","13,294,136"
外航計,"4,200,122","1,174,212","3,025,910","15,841,865","4,113,832","11,728,033","4,060,764","1,125,124","2,935,640","15,427,488","3,942,559","11,484,929"
外航定期計,"4,060,764","1,125,124","2,935,640","15,427,488","3,942,559","11,484,929","4,060,764","1,125,124","2,935,640","15,427,488","3,942,559","11,484,929"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"596,841","191,489","405,352","2,186,768","727,588","1,459,180","596,841","191,489","405,352","2,186,768","727,588","1,459,180"
北米東岸(カリビア海含む),"119,746","29,316","90,430","512,868","198,504","314,364","119,746","29,316","90,430","512,868","198,504","314,364"
北欧・地中海,"366,385","223,148","143,237","1,059,796","511,586","548,210","366,385","223,148","143,237","1,059,796","511,586","548,210"
南米西岸,"41,323","4,512","36,811","174,153","22,283","151,870","41,323","4,512","36,811","174,153","22,283","151,870"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"25,869","2,799","23,070","85,343","10,122","75,221","25,869","2,799","23,070","85,343","10,122","75,221"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,709,645","437,424","1,272,221","6,740,188","1,651,954","5,088,234","1,709,645","437,424","1,272,221","6,740,188","1,651,954","5,088,234"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"159,869","42,405","117,464","619,353","170,611","448,742","159,869","42,405","117,464","619,353","170,611","448,742"
中国(香港含む),"1,041,086","194,031","847,055","4,049,019","649,911","3,399,108","1,041,086","194,031","847,055","4,049,019","649,911","3,399,108"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"139,358","49,088","90,270","414,377","171,273","243,104",-,-,-,-,-,-
内航計,"3,405,845","1,263,957","2,141,888","13,551,953","5,015,205","8,536,748","1,103,000","627,990","475,010","4,292,045","2,482,838","1,809,207"
内航定期計,"2,096,893","1,121,431","975,462","8,117,358","4,425,405","3,691,953","1,095,773","620,763","475,010","4,241,817","2,440,832","1,800,985"
北海道,"408,837","224,285","184,552","1,554,511","870,699","683,812","408,837","224,285","184,552","1,554,511","870,699","683,812"
東北,"32,659","19,015","13,644","138,298","75,399","62,899","32,659","19,015","13,644","138,298","75,399","62,899"
関東,"40,512","21,499","19,013","187,213","93,352","93,861",-,-,-,442,-,442
伊豆諸島,"5,828","4,104","1,724","31,789","21,309","10,480",-,-,-,"4,344","3,173","1,171"
中部,"32,340","2,940","29,400","81,017","21,341","59,676","32,340","2,940","29,400","81,017","21,341","59,676"
近畿,"18,234","1,908","16,326","52,083","6,416","45,667","18,234","1,908","16,326","52,083","6,416","45,667"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,428,409","749,148","679,261","5,606,354","2,987,813","2,618,541","473,629","274,083","199,546","1,945,029","1,114,728","830,301"
沖縄,"130,074","98,532","31,542","466,093","349,076","117,017","130,074","98,532","31,542","466,093","349,076","117,017"
内航不定期,"1,308,952","142,526","1,166,426","5,434,595","589,800","4,844,795","7,227","7,227",-,"50,228","42,006","8,222"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
