< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,その他化学工業品,産業機械,自動車部品,再利用資材,電気機械
,"1,124,826",100.0%,"165,955","163,805","162,044","154,249","65,376"
,102.8%,,113.9%,95.0%,127.2%,80.2%,104.8%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,電気機械,その他化学工業品,ゴム製品
,"191,489",17.0%,"80,881","27,561","14,767","10,259","9,400"
,101.9%,,126.8%,74.6%,134.6%,92.5%,108.2%
北米東岸(カリビア海含む),,,産業機械,自動車部品,紙・パ　ル　プ,その他化学工業品,電気機械
,"29,316",2.6%,"11,352","6,594","1,800","1,768","1,707"
,57.4%,,58.0%,80.0%,48.1%,43.8%,61.6%
北欧・地中海,,,産業機械,自動車部品,その他化学工業品,電気機械,ゴム製品
,"223,148",19.8%,"51,205","35,895","27,468","17,750","16,450"
,222.2%,,191.6%,430.1%,243.6%,243.9%,209.1%
南米西岸,,,再利用資材,その他化学工業品,窯業品,産業機械,化学薬品
,"4,512",0.4%,"2,370",927,648,261,120
,2325.8%,,-,-,-,-,67.0%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,製造食品,その他化学工業品,産業機械,輸送用容器,ゴム製品
,"2,799",0.2%,553,491,249,225,171
,17.7%,,31.1%,13.1%,10.8%,202.7%,24.2%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,その他化学工業品,再利用資材,産業機械,自動車部品,電気機械
,"437,251",38.9%,"77,737","65,390","49,434","31,728","21,653"
,99.6%,,128.6%,68.7%,104.7%,88.9%,102.5%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,産業機械,電気機械,鋼材
,"42,405",3.8%,"9,242","6,649","5,122","2,189","1,858"
,76.8%,,49.3%,82.9%,130.2%,52.5%,110.8%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,その他製造工業品,電気機械
,"193,906",17.2%,"74,654","40,656","18,621","7,810","7,229"
,93.4%,,111.2%,99.5%,63.4%,108.5%,63.3%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
