"科目","金額[百万円]"
"年度","2017"
"決算日","20180331"
"資産の部 固定資産","3429624"
"資産の部 固定資産 有形固定資産","3314623"
"資産の部 固定資産 有形固定資産 事業用資産","621102"
"資産の部 固定資産 有形固定資産 事業用資産 土地","427970"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","0"
"資産の部 固定資産 有形固定資産 事業用資産 建物","315894"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-126900"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","8285"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-4744"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","0"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","0"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","0"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","597"
"資産の部 固定資産 有形固定資産 インフラ資産","2691994"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2600616"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1412"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-646"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","104085"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-13473"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","0"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","0"
"資産の部 固定資産 有形固定資産 物品","3775"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2249"
"資産の部 固定資産 無形固定資産","2414"
"資産の部 固定資産 無形固定資産 ソフトウェア","2403"
"資産の部 固定資産 無形固定資産 その他","10"
"資産の部 固定資産 投資その他の資産","112588"
"資産の部 固定資産 投資その他の資産 投資及び出資金","1453"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","294"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","1159"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","0"
"資産の部 固定資産 投資その他の資産 投資損失引当金","0"
"資産の部 固定資産 投資その他の資産 長期延滞債権","2747"
"資産の部 固定資産 投資その他の資産 長期貸付金","700"
"資産の部 固定資産 投資その他の資産 基金","108495"
"資産の部 固定資産 投資その他の資産 基金 減債基金","0"
"資産の部 固定資産 投資その他の資産 基金 その他","108495"
"資産の部 固定資産 投資その他の資産 その他","0"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-807"
"資産の部 流動資産","67033"
"資産の部 流動資産 現金預金","18818"
"資産の部 流動資産 未収金","3307"
"資産の部 流動資産 短期貸付金","477"
"資産の部 流動資産 基金","44530"
"資産の部 流動資産 基金 財政調整基金","44530"
"資産の部 流動資産 基金 減債基金","0"
"資産の部 流動資産 棚卸資産","0"
"資産の部 流動資産 その他","0"
"資産の部 流動資産 徴収不能引当金","-100"
"資産の部 繰延資産","0"
"資産の部 資産合計","3496658"
"負債の部 固定負債","19346"
"負債の部 固定負債 地方債等","729"
"負債の部 固定負債 長期未払金","3749"
"負債の部 固定負債 退職手当引当金","14867"
"負債の部 固定負債 損失補償等引当金","0"
"負債の部 固定負債 その他","0"
"負債の部 流動負債","8635"
"負債の部 流動負債 1年内償還予定地方債等","362"
"負債の部 流動負債 未払金","567"
"負債の部 流動負債 未払費用","0"
"負債の部 流動負債 前受金","0"
"負債の部 流動負債 前受収益","0"
"負債の部 流動負債 賞与等引当金","982"
"負債の部 流動負債 預り金","6724"
"負債の部 流動負債 その他","0"
"負債の部 負債合計","27980"
"純資産の部 固定資産等形成分","3474632"
"純資産の部 余剰分（不足分）","-5955"
"純資産の部 純資産合計","3468677"
"負債及び純資産合計","3496658"

"全体会計財務書類（貸借対照表）(平成30年3月31日現在)","Ver201803"
