5-(3)　　岡田港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"47,136","11,115","36,021",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"47,136","11,115","36,021",,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,"6,192","1,491","4,701",,(5)　化学工業品,,,"1,725",‐,"1,725"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,49,‐,49,,　　　　セメント,,281,880,‐,880
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,‐,‐,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,516,‐,516
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,‐,‐,‐
　　　　野菜・果物,,31,"1,142",104,"1,038",,　　　　石油製品,,321,26,‐,26
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,998,954,44,,　　　　LPG（液化石油ガス）,,323,283,‐,283
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,‐,‐,‐
　　　　その他畜産品,,71,"1,469",132,"1,337",,　　　　コークス,,331,‐,‐,‐
         水産品,,81,"2,534",301,"2,233",,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,89,‐,89,,　　　　化学薬品,,351,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学肥料,,361,‐,‐,‐
　　　　製材,,92,89,‐,89,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,20,‐,20
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,317,‐,317
　　　　木材チップ,,111,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　その他林産品,,112,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　その他繊維工業品,,401,‐,‐,‐
(3)　鉱産品,,,"18,691",‐,"18,691",,　　　　砂糖,,411,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　製造食品,,421,31,‐,31
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　飲料,,422,286,‐,286
　　　　金属鉱,,151,‐,‐,‐,,　　　　水,,423,‐,‐,‐
　　　　砂利・砂,,161,"15,950",‐,"15,950",,　　　　たばこ,,424,‐,‐,‐
　　　　石材,,162,"2,741",‐,"2,741",,　　　　その他食料工業品,,425,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,(7)　雑工業品,,,"1,077",214,863
　　　　りん鉱石,,181,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,　　　　家具装備品,,443,‐,‐,‐
(4)  金属機械工業品,,,"4,163","1,417","2,746",,　　　　その他日用品,,444,967,214,753
　　　　鉄鋼,,221,140,70,70,,　　　　ゴム製品,,451,30,‐,30
　　　　鋼材,,222,‐,‐,‐,,　　　　木製品,,461,80,‐,80
　　　　非鉄金属,,231,‐,‐,‐,,　　　　その他製造工業品,,471,‐,‐,‐
　　　　金属製品,,241,"1,273",153,"1,120",,(8)　特殊品,,,"14,213","7,373","6,840"
　　　　鉄道車両,,251,‐,‐,‐,,　　　　金属くず,,481,‐,‐,‐
　　　　完成自動車,,252,725,289,436,,　　　　再利用資材,,491,‐,‐,‐
　　　　その他輸送用車両,,253,"1,365",595,770,,　　　　動植物性製造飼肥料,,501,108,‐,108
　　　　二輪自動車,,254,277,158,119,,　　　　廃棄物,,511,191,191,‐
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃土砂,,512,17,‐,17
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　輸送用容器,,521,945,656,289
　　　　産業機械,,261,383,152,231,,　　　　取合せ品,,531,"12,952","6,526","6,426"
　　　　電気機械,,262,‐,‐,‐,,(9)　分類不能のもの,,541,669,620,49
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,【自航】,,,‐,‐,‐
