5-(8)　　神津島港,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"37,693","13,525","24,168",,　　　　事務用機器,,264,4,1,3
【一般】,,,"36,473","12,955","23,518",,　　　　その他機械,,265,10,‐,10
(1)　農水産品,,,"2,535","1,605",930,,(5)　化学工業品,,,"10,494",11,"10,483"
　　　　麦,,11,2,‐,2,,　　　　陶磁器,,271,10,‐,10
　　　　米,,21,22,‐,22,,　　　　セメント,,281,"4,328",‐,"4,328"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,78,10,68
　　　　豆類,,23,1,‐,1,,　　　　窯業品,,301,"2,463",‐,"2,463"
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,"2,880",‐,"2,880"
　　　　野菜・果物,,31,323,15,308,,　　　　石油製品,,321,640,‐,640
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,13,13,‐,,　　　　LPG（液化石油ガス）,,323,85,‐,85
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,‐,‐,‐
　　　　その他畜産品,,71,65,9,56,,　　　　コークス,,331,‐,‐,‐
         水産品,,81,"2,109","1,568",541,,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,912,67,845,,　　　　化学薬品,,351,6,1,5
　　　　原木,,91,‐,‐,‐,,　　　　化学肥料,,361,1,‐,1
　　　　製材,,92,836,12,824,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,3,‐,3
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,559,45,514
　　　　木材チップ,,111,‐,‐,‐,,　　　　紙、パルプ,,381,5,‐,5
　　　　その他林産品,,112,75,55,20,,　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　薪炭,,121,1,‐,1,,　　　　その他繊維工業品,,401,‐,‐,‐
(3)　鉱産品,,,1,‐,1,,　　　　砂糖,,411,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　製造食品,,421,170,‐,170
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　飲料,,422,368,44,324
　　　　金属鉱,,151,‐,‐,‐,,　　　　水,,423,3,‐,3
　　　　砂利・砂,,161,1,‐,1,,　　　　たばこ,,424,8,‐,8
　　　　石材,,162,‐,‐,‐,,　　　　その他食料工業品,,425,5,1,4
　　　　原油,,171,‐,‐,‐,,(7)　雑工業品,,,717,7,710
　　　　りん鉱石,,181,‐,‐,‐,,　　　　がん具,,431,5,‐,5
　　　　石灰石,,191,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,21,‐,21
　　　　原塩,,201,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,28,‐,28
　　　　非金属鉱物,,211,‐,‐,‐,,　　　　家具装備品,,443,9,‐,9
(4)  金属機械工業品,,,"12,422","4,969","7,453",,　　　　その他日用品,,444,4,‐,4
　　　　鉄鋼,,221,‐,‐,‐,,　　　　ゴム製品,,451,34,2,32
　　　　鋼材,,222,"1,640",500,"1,140",,　　　　木製品,,461,610,‐,610
　　　　非鉄金属,,231,50,‐,50,,　　　　その他製造工業品,,471,6,5,1
　　　　金属製品,,241,"4,532","1,800","2,732",,(8)　特殊品,,,"8,634","6,168","2,466"
　　　　鉄道車両,,251,‐,‐,‐,,　　　　金属くず,,481,"3,146","3,146",‐
　　　　完成自動車,,252,"3,965","1,695","2,270",,　　　　再利用資材,,491,‐,‐,‐
　　　　その他輸送用車両,,253,72,17,55,,　　　　動植物性製造飼肥料,,501,‐,‐,‐
　　　　二輪自動車,,254,39,30,9,,　　　　廃棄物,,511,"1,344","1,344",‐
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃土砂,,512,2,2,‐
　　　　その他輸送機械,,256,331,86,245,,　　　　輸送用容器,,521,"2,052","1,353",699
　　　　産業機械,,261,"1,775",840,935,,　　　　取合せ品,,531,"2,090",323,"1,767"
　　　　電気機械,,262,2,‐,2,,(9)　分類不能のもの,,541,199,83,116
　　　　測量・光学・医療用機械,,263,2,‐,2,,【自航】,,,"1,220",570,650
