５ 　　調査港湾別利用状況,,,,,,,,,,,,
,,,,,,,,,,,,
5-(1)　　総計,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"741,913","118,093","623,820",,　　　　事務用機器,,264,6,3,3
【一般】,,,"737,653","116,028","621,625",,　　　　その他機械,,265,"1,739",492,"1,247"
(1)　農水産品,,,"41,333","12,297","29,036",,(5)　化学工業品,,,"105,009","1,376","103,633"
　　　　麦,,11,2,‐,2,,　　　　陶磁器,,271,10,‐,10
　　　　米,,21,464,1,463,,　　　　セメント,,281,"33,224",6,"33,218"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,263,14,249
　　　　豆類,,23,13,‐,13,,　　　　窯業品,,301,"16,738",254,"16,484"
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,"24,180",863,"23,317"
　　　　野菜・果物,,31,"7,131",481,"6,650",,　　　　石油製品,,321,"22,203",22,"22,181"
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,"6,729","5,065","1,664",,　　　　LPG（液化石油ガス）,,323,"7,084",32,"7,052"
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,101,15,86
　　　　その他畜産品,,71,"8,676",506,"8,170",,　　　　コークス,,331,‐,‐,‐
         水産品,,81,"18,318","6,244","12,074",,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,"6,561","2,246","4,315",,　　　　化学薬品,,351,172,1,171
　　　　原木,,91,245,179,66,,　　　　化学肥料,,361,36,1,35
　　　　製材,,92,"4,361",172,"4,189",,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,998,168,830
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,"10,310",692,"9,618"
　　　　木材チップ,,111,590,581,9,,　　　　紙、パルプ,,381,5,‐,5
　　　　その他林産品,,112,"1,362","1,313",49,,　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　薪炭,,121,3,1,2,,　　　　その他繊維工業品,,401,9,‐,9
(3)　鉱産品,,,"334,295","52,332","281,963",,　　　　砂糖,,411,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　製造食品,,421,"1,212",129,"1,083"
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　飲料,,422,"5,857",256,"5,601"
　　　　金属鉱,,151,‐,‐,‐,,　　　　水,,423,81,‐,81
　　　　砂利・砂,,161,"247,262",1,"247,261",,　　　　たばこ,,424,23,2,21
　　　　石材,,162,"86,583","52,331","34,252",,　　　　その他食料工業品,,425,"3,123",305,"2,818"
　　　　原油,,171,‐,‐,‐,,(7)　雑工業品,,,"18,325","4,192","14,133"
　　　　りん鉱石,,181,‐,‐,‐,,　　　　がん具,,431,5,‐,5
　　　　石灰石,,191,450,‐,450,,　　  　衣服・身廻品・はきもの,,441,34,3,31
　　　　原塩,,201,‐,‐,‐,,　       文房具・運動娯楽用品・楽器,,442,64,2,62
　　　　非金属鉱物,,211,‐,‐,‐,,　　　　家具装備品,,443,87,‐,87
(4)  金属機械工業品,,,"86,988","26,155","60,833",,　　　　その他日用品,,444,"13,711","2,752","10,959"
　　　　鉄鋼,,221,320,250,70,,　　　　ゴム製品,,451,330,117,213
　　　　鋼材,,222,"4,489",999,"3,490",,　　　　木製品,,461,"2,239",154,"2,085"
　　　　非鉄金属,,231,64,4,60,,　　　　その他製造工業品,,471,"1,855","1,164",691
　　　　金属製品,,241,"37,516","7,873","29,643",,(8)　特殊品,,,"128,273","63,104","65,169"
　　　　鉄道車両,,251,‐,‐,‐,,　　　　金属くず,,481,"7,962","7,345",617
　　　　完成自動車,,252,"22,590","7,828","14,762",,　　　　再利用資材,,491,"4,302","3,728",574
　　　　その他輸送用車両,,253,"10,283","4,599","5,684",,　　　　動植物性製造飼肥料,,501,"2,659",100,"2,559"
　　　　二輪自動車,,254,677,333,344,,　　　　廃棄物,,511,"11,941","10,614","1,327"
　　　　自動車部品,,255,34,‐,34,,　　　　廃土砂,,512,"5,186","3,578","1,608"
　　　　その他輸送機械,,256,"4,938","1,977","2,961",,　　　　輸送用容器,,521,"30,630","20,196","10,434"
　　　　産業機械,,261,"4,202","1,748","2,454",,　　　　取合せ品,,531,"65,593","17,543","48,050"
　　　　電気機械,,262,128,49,79,,(9)　分類不能のもの,,541,"6,559","5,634",925
　　　　測量・光学・医療用機械,,263,2,‐,2,,【自航】,,,"4,260","2,065","2,195"
