5-(6)　　新島港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"77,813","10,031","67,782",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"74,773","8,536","66,237",,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,"3,691",571,"3,120",,(5)　化学工業品,,,"6,309",223,"6,086"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,23,‐,23,,　　　　セメント,,281,"4,187",‐,"4,187"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,‐,‐,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,627,223,404
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,‐,‐,‐
　　　　野菜・果物,,31,680,24,656,,　　　　石油製品,,321,"1,263",‐,"1,263"
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,155,23,132,,　　　　LPG（液化石油ガス）,,323,232,‐,232
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,‐,‐,‐
　　　　その他畜産品,,71,711,156,555,,　　　　コークス,,331,‐,‐,‐
         水産品,,81,"2,122",368,"1,754",,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,66,‐,66,,　　　　化学薬品,,351,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学肥料,,361,‐,‐,‐
　　　　製材,,92,66,‐,66,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,277,4,273
　　　　木材チップ,,111,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　その他林産品,,112,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　その他繊維工業品,,401,‐,‐,‐
(3)　鉱産品,,,"45,698",‐,"45,698",,　　　　砂糖,,411,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　製造食品,,421,43,‐,43
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　飲料,,422,234,4,230
　　　　金属鉱,,151,‐,‐,‐,,　　　　水,,423,‐,‐,‐
　　　　砂利・砂,,161,"38,000",‐,"38,000",,　　　　たばこ,,424,‐,‐,‐
　　　　石材,,162,"7,698",‐,"7,698",,　　　　その他食料工業品,,425,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,(7)　雑工業品,,,"1,262",423,839
　　　　りん鉱石,,181,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,　       文房具・運動娯楽用品・楽器,,442,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,　　　　家具装備品,,443,‐,‐,‐
(4)  金属機械工業品,,,"9,183","3,613","5,570",,　　　　その他日用品,,444,899,104,795
　　　　鉄鋼,,221,‐,‐,‐,,　　　　ゴム製品,,451,‐,‐,‐
　　　　鋼材,,222,‐,‐,‐,,　　　　木製品,,461,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐,,　　　　その他製造工業品,,471,363,319,44
　　　　金属製品,,241,"5,745","2,348","3,397",,(8)　特殊品,,,"7,075","2,512","4,563"
　　　　鉄道車両,,251,‐,‐,‐,,　　　　金属くず,,481,‐,‐,‐
　　　　完成自動車,,252,"1,017",172,845,,　　　　再利用資材,,491,‐,‐,‐
　　　　その他輸送用車両,,253,"2,299","1,081","1,218",,　　　　動植物性製造飼肥料,,501,122,‐,122
　　　　二輪自動車,,254,32,12,20,,　　　　廃棄物,,511,457,390,67
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃土砂,,512,397,267,130
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　輸送用容器,,521,"1,895","1,508",387
　　　　産業機械,,261,90,‐,90,,　　　　取合せ品,,531,"4,204",347,"3,857"
　　　　電気機械,,262,‐,‐,‐,,(9)　分類不能のもの,,541,"1,212","1,190",22
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,【自航】,,,"3,040","1,495","1,545"
