5-(2)　　元町港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"110,597","15,471","95,126",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"110,597","15,471","95,126",,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,"7,648","1,070","6,578",,(5)　化学工業品,,,"29,207",‐,"29,207"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,74,‐,74,,　　　　セメント,,281,"3,933",‐,"3,933"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,‐,‐,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,899,‐,899
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,"13,524",‐,"13,524"
　　　　野菜・果物,,31,"1,423",71,"1,352",,　　　　石油製品,,321,"9,114",‐,"9,114"
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,766,676,90,,　　　　LPG（液化石油ガス）,,323,"1,737",‐,"1,737"
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,‐,‐,‐
　　　　その他畜産品,,71,"2,580",95,"2,485",,　　　　コークス,,331,‐,‐,‐
         水産品,,81,"2,805",228,"2,577",,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,546,‐,546,,　　　　化学薬品,,351,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学肥料,,361,‐,‐,‐
　　　　製材,,92,546,‐,546,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,"1,544",‐,"1,544"
　　　　木材チップ,,111,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　その他林産品,,112,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　その他繊維工業品,,401,‐,‐,‐
(3)　鉱産品,,,"31,159",‐,"31,159",,　　　　砂糖,,411,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　製造食品,,421,89,‐,89
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　飲料,,422,"1,455",‐,"1,455"
　　　　金属鉱,,151,‐,‐,‐,,　　　　水,,423,‐,‐,‐
　　　　砂利・砂,,161,"29,542",‐,"29,542",,　　　　たばこ,,424,‐,‐,‐
　　　　石材,,162,"1,617",‐,"1,617",,　　　　その他食料工業品,,425,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,(7)　雑工業品,,,"2,978",659,"2,319"
　　　　りん鉱石,,181,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,　　　　家具装備品,,443,‐,‐,‐
(4)  金属機械工業品,,,"14,055","2,874","11,181",,　　　　その他日用品,,444,"2,978",659,"2,319"
　　　　鉄鋼,,221,‐,‐,‐,,　　　　ゴム製品,,451,‐,‐,‐
　　　　鋼材,,222,‐,‐,‐,,　　　　木製品,,461,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐,,　　　　その他製造工業品,,471,‐,‐,‐
　　　　金属製品,,241,"6,325",14,"6,311",,(8)　特殊品,,,"19,672","7,378","12,294"
　　　　鉄道車両,,251,‐,‐,‐,,　　　　金属くず,,481,‐,‐,‐
　　　　完成自動車,,252,"4,385","1,728","2,657",,　　　　再利用資材,,491,‐,‐,‐
　　　　その他輸送用車両,,253,"3,216","1,067","2,149",,　　　　動植物性製造飼肥料,,501,666,‐,666
　　　　二輪自動車,,254,127,63,64,,　　　　廃棄物,,511,"1,175","1,174",1
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃土砂,,512,101,‐,101
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　輸送用容器,,521,"3,313","2,629",684
　　　　産業機械,,261,2,2,‐,,　　　　取合せ品,,531,"14,417","3,575","10,842"
　　　　電気機械,,262,‐,‐,‐,,(9)　分類不能のもの,,541,"3,788","3,490",298
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,【自航】,,,‐,‐,‐
