令和元年7月21日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本共産党,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年 7月22日 13時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,小池,山下,紙,井上,仁比,梅村,しいば,青山,有坂,伊藤,伊藤,大野,鎌野,小久保,佐藤,島袋,下奥,住寄,田辺,沼上,原,藤本,ふなやま,まつざき,山本,山本
,,晃,よしき,智子,さとし,そうへい,さえこ,かずゆき,了介,ちひろ,達也,りち子,聖美,祥二,剛志,ちひろ,恵祐,奈歩,聡美,健一,徳光,純子,友里,由美,真琴,千代子,のりこ
　★都計,59749.262,43524.000,3654.959,1752.961,2010.671,723.000,753.208,512.156,207.000,396.575,278.746,406.795,159.000,27.000,83.000,475.227,178.000,62.000,43.000,214.000,44.000,562.000,162.000,273.000,120.000,598.358,2528.606
　☆区部計,41038.681,29613.000,2548.681,1270.961,1435.027,510.000,531.208,368.000,149.000,290.575,126.597,280.813,94.000,20.000,58.000,334.108,129.000,44.000,26.000,151.000,35.000,422.000,116.000,206.000,77.000,432.742,1769.969
　　千代田区,195.008,143.000,11.000,6.000,6.000,3.000,4.000,0.000,1.000,2.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,2.000,0.000,1.000,0.000,2.000,0.000,1.000,9.008
　　中央区,404.000,296.000,14.000,11.000,10.000,7.000,9.000,3.000,1.000,4.000,3.000,4.000,1.000,0.000,0.000,3.000,2.000,1.000,1.000,1.000,0.000,0.000,1.000,2.000,0.000,8.000,22.000
　　港区,747.306,536.000,28.000,31.000,23.283,15.000,16.000,6.000,4.000,10.000,2.000,7.000,4.000,1.000,4.000,5.012,3.000,1.000,1.000,5.000,0.000,7.000,1.000,5.000,3.000,8.003,21.008
　　新宿区,1235.198,962.000,55.000,35.000,31.154,15.000,18.000,3.000,5.000,7.000,1.000,4.000,2.000,0.000,2.000,9.018,5.000,0.000,1.000,3.000,2.000,13.000,4.000,0.000,0.000,14.006,44.020
　　文京区,1438.044,1069.000,66.000,73.000,44.000,21.000,26.000,7.000,6.000,9.000,0.000,7.000,3.000,0.000,5.000,17.033,4.000,1.000,3.000,2.000,1.000,12.000,1.000,6.000,2.000,11.002,42.009
　　台東区,654.562,482.000,37.513,27.000,23.000,5.000,5.000,6.000,2.000,6.000,0.000,2.000,0.000,0.000,1.000,7.013,1.000,0.000,0.000,1.000,0.000,1.000,2.000,3.000,0.000,8.006,35.030
　　墨田区,1250.947,898.000,92.290,30.000,62.607,8.000,13.342,7.000,0.000,10.000,5.156,14.437,2.000,0.000,3.000,6.000,1.000,1.000,1.000,6.000,0.000,13.000,3.000,8.000,4.000,13.024,49.091
　　江東区,3058.045,2082.000,214.046,108.486,136.560,24.000,30.344,29.000,13.000,18.000,12.000,16.000,8.000,5.000,3.000,26.046,11.000,6.000,0.000,20.000,2.000,27.000,6.000,21.000,6.000,60.145,173.418
　　品川区,1588.348,1227.000,72.566,51.000,42.000,19.000,15.000,10.000,5.000,11.224,13.000,9.000,4.000,2.000,2.000,24.524,6.000,0.000,1.000,4.000,1.000,17.000,1.000,5.000,2.000,7.005,37.029
　　目黒区,868.758,639.000,38.000,30.000,35.752,19.000,10.000,10.000,2.000,5.000,5.000,5.000,2.000,0.000,1.000,8.006,4.000,3.000,0.000,1.000,0.000,7.000,3.000,1.000,3.000,5.000,32.000
　　大田区,3440.705,2403.000,274.746,102.000,141.255,32.000,48.000,42.000,21.000,31.000,8.135,22.372,7.000,1.000,1.000,24.021,11.000,4.000,1.000,13.000,7.000,23.000,11.000,18.000,6.000,23.021,165.155
　　世田谷区,3776.142,2536.000,249.955,149.000,129.156,64.000,66.000,32.000,18.000,33.000,20.000,29.000,10.000,4.000,6.000,41.010,17.000,2.000,3.000,21.000,0.000,37.000,14.000,23.000,8.000,45.003,219.018
