番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,区部計（票）,品川区（票）,大田3区（票）,島しょ町村部計（票）,大島支庁（票）,台東区（票）,大島町（票）,利島村（票）,神津島村（票）,三宅支庁（票）,三宅村（票）,御蔵島村（票）,八丈支庁（票）,八丈町（票）,青ヶ島村（票）,小笠原支庁（票）,小笠原村（票）
1,＊,まつばら　仁,民主党,111353,107305,68177,39128,4048,1839,1024,34,438,343,420,366,54,1412,1393,19,377,377
2,＊,石原　ひろたか,自由民主党,115623,107648,71710,35938,7975,4057,2351,171,972,563,982,883,99,2329,2260,69,607,607
3,,香西　かつ介,日本共産党,34295,32746,22290,10456,1549,810,649,13,113,35,171,140,31,366,356,10,202,202
合計,,,,261271,247699,162177,85522,13572,6706,4024,218,1523,941,1573,1389,184,4107,4009,98,1186,1186
