執行年月日,投票率（％）
昭和22年4月5日,62.25
昭和26年4月23日,77.03
昭和30年4月30日,80.63
昭和34年4月30日,79.13
昭和38年4月30日,70.85
昭和42年4月28日,67.12
昭和46年4月25日,69
昭和50年4月27日,56.74
昭和54年4月22日,56.25
昭和58年4月24日,54.4
昭和62年4月26日,51.64
平成3年4月21日,49.97
平成7年4月23日,45.27
平成11年4月25日,48.41
平成15年4月27日,44.45
平成19年4月22日,46.05
平成23年4月24日,45.22
平成27年4月26日,44.87
平成31年4月21日,44.79
2023/4/23,46.11
