年代別,１８歳,１９歳,２０歳,２１～　２４歳,２５～　２９歳,３０～　３４歳,３５～　３９歳,４０～　４４歳,４５～　４９歳,５０～　５４歳,５５～　５９歳,６０～　６４歳,６５～　６９歳,７０～　７４歳,７５～　７９歳,８０歳　以上
男,53.32,44.27,42.2,36.79,38.81,46.25,50.72,54.75,57.74,59.37,62.68,65.71,68.77,69.48,69.12,57.28
女,55.88,45.98,44.11,39.91,44.88,51.84,54.87,57.43,59.82,62.21,64.67,67.07,69.59,69.06,65.73,43.86
平　均,54.58,45.11,43.14,38.36,41.85,49.01,52.76,56.07,58.77,60.77,63.64,66.38,69.18,69.26,67.23,48.72
