年代別,１８歳,１９歳,２０歳,２１～　２４歳,２５～　２９歳,３０～　３４歳,３５～　３９歳,４０～　４４歳,４５～　４９歳,５０～　５４歳,５５～　５９歳,６０～　６４歳,６５～　６９歳,７０～　７４歳,７５～　７９歳,８０歳　以上
男,41.59,32.18,27.89,23.67,24.37,30.59,34.86,38.76,41.65,44.22,47.88,51.12,55.22,57.71,58.62,48.59
女,43.85,33.1,29.54,25.29,28.21,33.82,37.35,40.59,43.3,46.27,48.96,52.36,56.39,57.61,55.87,36.78
平　均,42.7,32.63,28.71,24.49,26.29,32.19,36.08,39.66,42.46,45.22,48.4,51.73,55.81,57.66,57.08,41.04
