執行年月,５１．１２．５,５２．７．１０,５４．４．８,５４．４．２２,５４．１０．７,５５．６．２２,５６．７．５,５８．４．１０,５8．４．２４,５８．６．２６,５８．１２．１８,６０．７．７,６１．７．６,６２．４．１２,６２．４．２６,元．７．２,元．７．２３,２．２．１８,３．４．７,３．４．２１,４．７．２６,５．６．２７,５．７．１８,７．４．９,７．４．２３,７．７．２３,８．１０．２０,９．７．６,１０．７．１２,１１．４．１１,１１．４．２５,１２．６．２５,１３．６．２４,１３．７．２９,１５．４．１３,１５．４．２７,１５．１１．９,１６．７．１１,１７．７．３,１７．９．１１,１９．４．８,１９．７．１１,２１．７．１２,２１．８．３０,２２．７．１１,２３．４．１０,２３．４．２４,２４．１２．１６,２４．１２．１６,２５．６．２３,２５．７．２１,２６．２．９,２６．１２．１４,２８．７．１０,２８．７．３１,２９．７．２,２９．１０．２２,元．７．２１,２．７．５,３．７．４,３.１０.３１,４.７.１０
年代別,衆院選,参院選          都議選,知事選,区市町村選,衆院選,衆院選          参院選,都議選,知事選,区市町村選,参院選,衆院選,都議選,衆院選          参院選,知事選,区市町村選,都議選,参院選,衆院選,知事選,区市町村選,参院選,都議選,衆院選,知事選,区市町村選,参院選,衆院選,都議選,参院選,知事選,区市町村選,衆院選,都議選,参院選,都知事選,区市町村選,衆院選,参院選,都議選,衆院選,都知事選,参院選,都議選,衆院選,参院選,都知事選,区市町村選,衆院選,都知事選,都議選,参院選,都知事選,衆院選,参院選,都知事選,都議選,衆院選,参院選,都知事選,都議選,衆院選,参院選
１８歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.23,51.83,46.43,48.97,46.41,60.58,42.7,53.86,54.58
１９歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,43.65,32.2,38.64,38.52,47.92,32.63,45.46,45.11
１０歳代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.84,47.58,39.03,43.59,42.34,54.01,37.47,49.49,49.67
２０歳,,,42.43,41.18,38.38,52.86,39.74,34.77,40.17,32.49,41.89,38.32,43.67,29.47,34.29,40.43,35.5,43.16,36.16,31.62,32.12,33.52,38.69,35.13,30.08,25.43,39.96,26.4,41.76,40.2,30.24,43.81,32.56,33.89,33.77,35.43,40.22,42.09,33.48,48.28,39.84,37.93,37.34,46.56,45.29,48.44,29.18,49.62,51.63,30.07,35.16,34.95,42.17,46.91,39.97,28.81,33.97,35.42,45.6,28.71,41.73,43.14
２１歳～２４歳,47.37,46.07,38.35,37.07,35.07,46.64,33.69,30.04,35.94,30.35,38.17,32.1,38.56,23.62,31.98,34.54,32.81,39.86,29.56,26.85,25.28,26.58,35.43,26.98,24.64,20.99,32.47,19.56,33.79,33.86,27.2,35.43,25.7,29.31,25.08,28.73,33.28,33.35,23.21,43.01,31.63,33.07,30.12,41.66,34.96,37.37,21.05,40.64,43.59,23.12,31.66,25.7,32.98,37.65,34.84,25.32,30.88,31.54,39.19,24.49,36.68,38.36
２５歳～２９歳,50.54,52.72,43.44,42.34,38.92,55.4,37.4,34.43,40.47,37.63,43.67,35.66,44.39,28.88,34.78,41.69,42.08,48.07,34.98,30.56,30.92,31.63,42.44,30.99,26.52,23.36,35.9,21.78,37.07,37.2,28.45,38.69,27.25,32.14,25.99,27.06,35.88,35.15,23.77,47.62,33.83,36.77,30.84,46.48,37.11,39.12,21.74,42.39,44.41,23.13,33.7,28.38,34.85,39.03,39.21,26.85,33.2,33.97,41.89,26.29,39.59,41.85
２０歳代,49.09,49.89,41.43,40.25,37.38,51.76,36.13,32.66,38.55,34.12,41.23,34.43,41.8,26.66,33.5,38.51,37.34,44.11,32.79,29.08,28.67,29.68,39.1,29.68,26.04,22.54,34.88,21.28,36.17,36.17,28.11,37.87,27.1,31.22,26.26,28.31,35.26,35.04,24.32,45.99,33.45,35.49,31.09,44.75,36.9,39.16,22.01,42.3,44.64,23.64,33.09,27.92,34.73,39.13,37.65,26.44,32.39,33.16,41.17,25.8,38.66,40.66
３０歳～３４歳,61.11,62.95,51.28,53.58,48.24,63.99,47.19,41.58,50.33,47.23,52.7,44.78,55.03,37.19,44.25,52.54,52.18,60.91,43.98,39.81,39.97,42.84,53.3,42.78,35.87,32.23,46.79,27.8,47.98,47.76,36.18,48.37,35.22,39.98,32.43,32.39,44.85,42.74,29.67,56.03,42.21,45.59,39.87,56.36,45.91,48.64,29.88,51.55,51.84,29.27,41.36,37.22,41.34,47.01,48.59,34.41,40,40.29,48.15,32.19,46.7,49.01
３５歳～３９歳,67.15,68.65,57.01,63.39,57.06,71.67,54.07,46.65,59.59,52.83,58.81,51.79,62.08,42.45,52.63,59.8,58.41,67.48,49.5,48.79,45.47,51.52,60.6,51.17,44.88,38.95,55.15,35.82,57.19,56.56,46.18,57.29,42.88,46.96,38.56,39.73,52.74,50.37,35.23,62.4,48.36,51.75,45.8,62.39,52.22,53.26,34.75,57.73,58.08,34.63,47.17,42.21,47.7,52.04,55.05,40.72,46.55,44.63,52.15,36.08,51.33,52.76
３０歳代,64.02,65.7,53.98,58.03,52.42,67.45,50.24,44.04,54.86,49.94,55.67,48.49,58.79,40.16,48.86,56.37,55.44,64.28,46.75,44.31,42.6,46.97,56.72,45.99,40.06,35.33,50.62,31.51,52.23,51.76,40.75,52.44,38.73,43.18,35.28,35.83,48.53,46.34,32.31,59.05,45.25,48.72,42.98,59.52,49.21,51.07,32.43,54.82,55.14,32.1,44.42,39.83,44.67,49.61,51.93,37.67,43.38,42.54,50.23,34.22,49.11,50.96
４０歳～４４歳,71.28,71.64,60.8,68.13,61.72,73.91,58.66,51.1,66.56,56.87,64.87,58.03,66.58,45.23,60.05,62.76,62.37,71.4,53.86,54.03,49.2,55.01,64.7,55.59,50.15,44.22,60.99,40.8,62.25,61.66,52.02,63.13,49.06,54.12,43.54,46.62,59.5,57.6,40.45,67.72,52.51,56.81,51,66.45,56.19,55.8,39.31,61.83,61.49,38.72,49.65,44.13,51.12,54.37,57.26,45.66,51.24,48.29,55.61,39.66,55.9,56.07
４５歳～４９歳,73.63,74.18,63.92,69.28,63.54,76.39,62.12,54.83,69.45,59.81,68.71,61.92,70.85,49.22,64.48,66.93,65.41,75.83,58.81,59.17,52.74,59.05,68.62,56.83,52.25,47.86,63.93,44.39,65.46,64.54,54.95,67.02,53.77,58.57,47.32,51.56,64.28,60.93,45.89,70.81,57.28,61.97,57.08,70.9,61.51,60.1,42.72,65.83,65.63,41.6,54.25,47.6,55.19,58.04,61.83,50.5,54.92,51.23,57.28,42.46,59.05,58.77
