番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,東村山市（票）,東大和市（票）,清瀬市（票）,東久留米市（票）,武蔵村山市（票）
1,,池田　真理子,日本共産党,49902,15192,8175,8566,12166,5803
2,＊,竹田　光明,民主党,51362,16038,8987,8034,12827,5476
3,＊,木原　誠二,自由民主党,110273,34430,19105,16250,25513,14975
合計,,,,211537,65660,36267,32850,50506,26254
