令和4年7月10日 執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（東京都選出）議員選挙　候補者別得票数（全候補）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和4年 7月11日 14時 24分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,定数　6人,,,
,,セッタ,菅原,山本,なかむら,あんどう,えびさわ,荒木,服部,長谷川,山添,いの,竹谷,田中,くつざわ,桑島,こばた,ごとう,朝日,込山,及川,青山,いくいな,松尾,蓮舫,さいき,河野,乙武,中川,たむら,ないとう,松田,河西,油井,中村,,,,
,,ケンジ,みゆき,太郎,之菊,裕,由紀,ちはる,良一,洋平,拓,恵司,とし子,けん,亮治,康文,はるひこ,てるき,けんたろう,ひろし,幸久,まさゆき,晃子,あきひろ,,陽平,けんじ,ひろただ,智晴,まな,ひさお,みき,泉緒,史正,高志,合計,残票数,開票率,受信時刻
,,ＮＨＫ党,日本第一党,れいわ新選組,沖縄の米軍基地を東京へ引き取る党,新党くにもり,日本維新の会,ファーストの会,社会民主党,ＮＨＫ党,日本共産党,ＮＨＫ党,公明党,ＮＨＫ党,日本改革党,核融合党,天命党,（略称）メタバース党,自由民主党,スマイル党,幸福実現党,（略称）自由共和党,自由民主党,立憲民主党,立憲民主党,こどもの党,維新政党・新風,無所属,無所属,共和党,平和党,ＮＨＫ党,参政党,無所属,無所属,,,,
★都計,確,9658.469,17020.000,565925.000,3043.311,20758.130,530361.000,284629.000,59365.000,13431.385,685224.000,10150.000,742968.000,19287.000,46641.000,1913.000,3283.000,19100.000,922793.000,5408.867,25209.000,14845.000,619792.000,372064.000,670339.000,50661.614,22306.522,322904.000,7203.000,27110.000,3559.000,53032.000,137692.000,3370.000,7417.655,6298463.953,0,100.00,
☆区部計,確,7224.631,11863.000,388993.000,2153.248,14736.578,383362.000,204865.000,38457.000,9136.000,472131.000,7317.000,499519.000,13825.000,33579.000,1412.000,2227.000,13765.000,624917.000,3877.420,17846.000,10696.000,424084.000,246465.000,443276.000,36781.000,16128.362,237648.000,4871.000,19063.000,2370.000,37316.000,96313.000,2330.000,5061.731,4333608.970,0,100.00,
　　千代田区,確,34.000,92.000,2557.000,16.380,143.000,3202.000,2114.000,222.000,105.000,2773.000,43.000,1656.000,101.000,236.000,8.000,10.000,123.000,6996.000,33.000,148.000,66.000,3175.000,1868.000,2726.000,292.000,87.000,1959.000,22.000,94.000,9.000,302.000,741.000,12.000,26.619,31991.999,0,100.00,1:28
　　中央区,確,135.000,194.000,6427.000,40.192,333.826,9217.000,3360.000,522.000,112.000,6183.000,114.000,5116.000,376.000,580.000,20.000,31.000,220.000,14266.000,70.173,336.000,186.000,9088.000,4884.000,8071.000,780.000,166.000,5196.000,90.000,343.000,30.000,821.000,2066.000,43.000,168.807,79585.998,0,100.00,1:57
　　港区,確,367.000,260.000,9635.000,37.000,417.000,12334.000,4443.000,920.000,170.000,8888.000,127.000,7154.000,308.000,797.000,33.000,84.000,213.000,19685.000,98.000,800.000,288.000,11293.000,5762.000,11013.000,1254.000,382.000,7030.000,114.000,400.000,47.000,1112.000,3147.000,49.000,74.000,108735.000,0,100.00,1:55
　　新宿区,確,227.444,393.000,12917.000,74.164,581.000,13809.000,7195.000,1470.000,645.000,17710.000,208.000,16665.000,316.000,1251.000,45.000,94.000,399.000,19303.000,134.000,615.000,330.000,16303.000,8719.000,13614.000,1245.000,284.555,9383.000,204.000,634.000,81.000,1393.000,3591.000,69.000,116.835,150018.998,0,100.00,2:26
　　文京区,確,149.000,329.000,8622.000,55.748,419.000,12009.000,5283.000,1078.000,381.000,15188.000,224.000,7309.000,263.000,833.000,63.000,74.000,302.000,20119.000,104.000,436.000,260.000,9654.000,10959.000,11240.000,1087.000,260.000,6614.000,115.000,550.000,72.000,803.000,2133.000,38.000,93.251,117118.999,0,100.00,1:11
