開票区名,計,（１）青木愛,（２）北出みか,（３）すえつぐ精一,（４）姫井由美子,（５）日吉雄太
★都計,29173.000,23017.000,1263.000,903.000,2501.000,1489.000
☆区部計,22473.000,17944.000,944.000,655.000,1783.000,1147.000
千代田区,102.000,73.000,0.000,3.000,17.000,9.000
中央区,279.000,204.000,16.000,8.000,32.000,19.000
港区,472.000,330.000,31.000,29.000,45.000,37.000
新宿区,559.000,427.000,26.000,14.000,64.000,28.000
文京区,458.000,334.000,19.000,9.000,65.000,31.000
台東区,354.000,266.000,22.000,15.000,33.000,18.000
墨田区,445.000,341.000,22.000,9.000,50.000,23.000
江東区,1005.000,779.000,54.000,35.000,81.000,56.000
品川区,647.000,483.000,30.000,20.000,64.000,50.000
目黒区,607.000,478.000,23.000,23.000,46.000,37.000
大田区,1227.000,914.000,57.000,51.000,129.000,76.000
世田谷区,3106.000,2260.000,209.000,117.000,260.000,260.000
渋谷区,581.000,420.000,23.000,31.000,64.000,43.000
中野区,637.000,477.000,29.000,23.000,71.000,37.000
杉並区,1226.000,922.000,54.000,44.000,130.000,76.000
豊島区,641.000,506.000,20.000,17.000,59.000,39.000
北区,3190.000,3093.000,20.000,12.000,43.000,22.000
荒川区,378.000,323.000,13.000,11.000,20.000,11.000
板橋区,1125.000,886.000,48.000,38.000,106.000,47.000
練馬区,1369.000,1022.000,74.000,51.000,152.000,70.000
足立区,2079.000,1889.000,44.000,26.000,87.000,33.000
葛飾区,774.000,609.000,38.000,20.000,61.000,46.000
江戸川区,1212.000,908.000,72.000,49.000,104.000,79.000
☆市部計,6596.000,4986.000,314.000,244.000,714.000,338.000
八王子市,752.000,559.000,40.000,22.000,97.000,34.000
立川市,261.000,191.000,12.000,8.000,27.000,23.000
武蔵野市,365.000,260.000,17.000,15.000,48.000,25.000
三鷹市,398.000,300.000,25.000,12.000,37.000,24.000
青梅市,210.000,153.000,5.000,16.000,22.000,14.000
府中市,372.000,291.000,21.000,10.000,36.000,14.000
昭島市,147.000,103.000,11.000,5.000,19.000,9.000
調布市,340.000,278.000,8.000,13.000,26.000,15.000
町田市,813.000,611.000,33.000,37.000,78.000,54.000
小金井市,195.000,157.000,13.000,4.000,11.000,10.000
小平市,296.000,221.000,14.000,14.000,38.000,9.000
日野市,287.000,201.000,20.000,13.000,37.000,16.000
東村山市,243.000,195.000,9.000,6.000,24.000,9.000
国分寺市,194.000,149.000,7.000,7.000,23.000,8.000
国立市,146.000,116.000,9.000,4.000,12.000,5.000
福生市,118.000,82.000,5.000,9.000,11.000,11.000
狛江市,170.000,127.000,5.000,8.000,19.000,11.000
東大和市,128.000,95.000,5.000,3.000,14.000,11.000
清瀬市,103.000,81.000,6.000,1.000,12.000,3.000
東久留米市,191.000,147.000,12.000,2.000,23.000,7.000
武蔵村山市,81.000,61.000,8.000,1.000,5.000,6.000
多摩市,199.000,160.000,2.000,5.000,27.000,5.000
稲城市,131.000,94.000,6.000,11.000,17.000,3.000
羽村市,61.000,52.000,0.000,4.000,5.000,0.000
あきる野市,80.000,62.000,3.000,2.000,12.000,1.000
西東京市,315.000,240.000,18.000,12.000,34.000,11.000
☆西多摩郡計,68.000,57.000,4.000,3.000,2.000,2.000
瑞穂町,28.000,24.000,2.000,2.000,0.000,0.000
日の出町,30.000,23.000,2.000,1.000,2.000,2.000
檜原村,2.000,2.000,0.000,0.000,0.000,0.000
奥多摩町,8.000,8.000,0.000,0.000,0.000,0.000
☆島部計,36.000,30.000,1.000,1.000,2.000,2.000
大島支庁小計,16.000,15.000,0.000,0.000,1.000,0.000
大島町,14.000,13.000,0.000,0.000,1.000,0.000
利島村,2.000,2.000,0.000,0.000,0.000,0.000
新島村,0.000,0.000,0.000,0.000,0.000,0.000
神津島村,0.000,0.000,0.000,0.000,0.000,0.000
三宅支庁小計,3.000,2.000,1.000,0.000,0.000,0.000
三宅村,3.000,2.000,1.000,0.000,0.000,0.000
御蔵島村,0.000,0.000,0.000,0.000,0.000,0.000
八丈支庁小計,7.000,7.000,0.000,0.000,0.000,0.000
八丈町,7.000,7.000,0.000,0.000,0.000,0.000
青ヶ島村,0.000,0.000,0.000,0.000,0.000,0.000
小笠原支庁小計,10.000,6.000,0.000,1.000,1.000,2.000
小笠原村,10.000,6.000,0.000,1.000,1.000,2.000
