令和4年7月10日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　政党等別名簿登載者（特定枠）　投票総数一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和4年 7月11日 17時 04分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
届出番号,1,政党等の名称,幸福実現党,届出番号,2,政党等の名称,日本維新の会,届出番号,3,政党等の名称,れいわ新選組,届出番号,4,政党等の名称,公明党,届出番号,5,政党等の名称,ごぼうの党,届出番号,6,政党等の名称,立憲民主党,届出番号,7,政党等の名称,国民民主党,届出番号,8,政党等の名称,参政党,届出番号,9,政党等の名称,日本第一党,届出番号,10,政党等の名称,日本共産党,届出番号,11,政党等の名称,新党くにもり,届出番号,12,政党等の名称,自由民主党,届出番号,13,政党等の名称,社会民主党,届出番号,14,政党等の名称,ＮＨＫ党,届出番号,15,政党等の名称,維新政党・新風
整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数,整理番号,名簿登載者名,,投票数
,,,,,,,,1,天畠　大輔,,1237.000,,,,,1,奥野　卓志,,900.096,,,,,,,,,,,,,,,,,,,,,,,,,1,藤井　一博,,1562.000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,川村　拓司,,36.031,,,,,,,,,,,,,,,,,,,,,,,,,2,梶原　大介,,219.000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,今吉　由泰,,5.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4,今西　孝太,,31.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5,﨑村　峰徳,,6.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6,首藤　昌弘,,6.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7,高崎　圭悟,,259.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8,斎藤　和干,,34.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合計,,0.000,,合計,,0.000,,合計,,1237.000,,合計,,0.000,,合計,,1277.520,,合計,,0.000,,合計,,0.000,,合計,,0.000,,合計,,0.000,,合計,,0.000,,合計,,0.000,,合計,,1781.000,,合計,,0.000,,合計,,0.000,,合計,,0.000
