執行年月日,投票率（％）
昭和22年4月30日,63.99
昭和26年4月23日,77.22
昭和30年4月30日,63.52
昭和34年4月30日,67.07
昭和38年4月30日,61.2
昭和42年4月28日,69.19
昭和46年4月25日,72.62
昭和50年4月27日,57.67
昭和54年4月22日,58.19
昭和58年4月24日,56.26
昭和62年4月26日,52.57
平成3年4月21日,50.32
平成7年4月23日,45.43
平成11年4月25日,48.96
平成15年4月27日,44.84
平成19年4月22日,45.83
平成23年4月24日,44.21
平成27年4月26日,43.99
平成31年4月21日,43.67
令和5年4月23日,44.98
