年月,区分,２０歳（％）,２１～２４歳（％）,２５～２９歳（％）,３０～３４歳（％）,３５～３９歳（％）,４０～４４歳（％）,４５～４９歳（％）,５０～５４歳（％）,５５～５９歳（％）,６０～６４歳（％）,６５～６９歳（％）,７０代以上（％）
H24.12,今回,49.62,40.64,42.39,51.55,57.73,61.83,65.83,68.21,71.83,74.02,77.76,67.33
H21.8,前回,46.56,41.66,46.48,56.36,62.39,66.45,70.90,73.77,76.64,80.29,82.27,72.55
H17.9,前々回,48.28,43.01,47.62,56.03,62.40,67.72,70.81,73.30,76.53,79.51,82.19,71.18
