開票区名,計,（１）市田忠義,（２）田村智子,（３）大門みきし,（４）春名なおあき,（５）いせだ良子,（６）いわぶち友,（７）おくだ智子,（８）椎葉かずゆき,（９）たけだ良介,（１０）石山ひろゆき,（１１）和泉信丈,（１２）伊藤たつや,（１３）いわぶち彩子,（１４）植本かんじ,（１５）遠藤ひでかず,（１６）岡田正和,（１７）かまい敏行,（１８）かみむら泰稔,（１９）亀田りょうすけ,（２０）唐沢ちあき,（２１）熊谷智,（２２）小池一徳,（２３）小路貴之,（２４）坂口多美子,（２５）佐藤こうへい,（２６）高木みつひろ,（２７）高橋わたる,（２８）にしざわ博,（２９）原口敏彦,（３０）藤本ゆり,（３１）ふるたみちよ,（３２）まえさと保,（３３）益田牧子,（３４）松田一志,（３５）松本隆,（３６）松山きょうこ,（３７）みかじり亮子,（３８）宮内げん,（３９）山下かい,（４０）山田かずお,（４１）吉田恭子,（４２）よしまた洋
★都計,49075.876,8266.000,24408.960,1895.000,304.000,1300.000,1544.787,1263.038,245.000,422.000,580.629,108.000,536.293,885.188,52.000,88.000,345.000,87.028,59.000,128.000,188.000,124.000,1070.000,39.000,274.000,405.406,158.000,106.118,233.121,143.000,293.000,754.000,100.000,130.000,115.000,258.032,162.555,95.000,140.000,199.000,230.550,531.171,809.000
☆区部計,33432.928,5759.000,15954.000,1433.000,223.000,958.000,1046.387,922.000,171.000,299.000,423.295,88.000,293.814,594.598,41.000,59.000,248.000,65.028,40.000,94.000,142.000,94.000,784.000,24.000,199.000,288.195,116.000,79.191,174.121,104.000,205.000,524.000,70.000,91.000,88.000,198.032,114.333,69.000,109.000,135.000,160.359,393.575,559.000
千代田区,123.000,30.000,51.000,11.000,1.000,0.000,5.000,5.000,2.000,2.000,1.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,3.000,2.000
中央区,264.000,56.000,104.000,15.000,2.000,9.000,4.000,10.000,2.000,1.000,3.000,3.000,3.000,3.000,1.000,1.000,3.000,1.000,0.000,1.000,2.000,1.000,9.000,0.000,0.000,1.000,1.000,0.000,2.000,3.000,2.000,4.000,1.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,6.000,7.000
港区,509.500,122.000,203.000,27.000,9.000,12.000,14.000,17.000,6.000,5.000,7.000,2.000,7.000,5.000,0.000,0.000,4.000,2.000,0.000,1.000,2.000,2.000,11.000,0.000,0.000,5.500,0.000,0.000,3.000,3.000,2.000,4.000,3.000,0.000,3.000,5.000,0.000,0.000,1.000,1.000,0.000,7.000,14.000
新宿区,955.208,172.000,500.000,34.000,5.000,28.000,28.000,23.000,6.000,3.000,6.000,9.000,9.000,12.000,0.000,1.000,6.000,1.000,1.000,1.000,5.000,0.000,21.000,1.000,4.000,8.000,6.000,2.166,4.000,0.000,5.000,11.000,5.000,3.000,1.000,9.000,1.000,0.000,1.000,3.000,4.005,5.037,11.000
文京区,911.670,167.000,442.000,42.000,9.000,25.000,23.696,36.000,1.000,9.000,13.000,4.000,5.000,10.303,0.000,4.000,11.000,1.000,0.000,0.000,5.000,2.000,27.000,0.000,3.000,8.571,3.000,1.000,3.000,3.000,4.000,4.000,2.000,2.000,2.000,6.000,4.000,1.000,0.000,4.000,4.002,11.098,9.000
台東区,564.103,101.000,234.000,23.000,2.000,25.000,18.000,11.000,3.000,6.000,11.000,4.000,6.071,8.000,2.000,3.000,7.000,0.000,2.000,0.000,4.000,3.000,16.000,0.000,1.000,12.000,2.000,2.000,4.000,2.000,4.000,11.000,0.000,3.000,1.000,3.000,2.000,2.000,0.000,4.000,6.032,9.000,7.000
墨田区,873.504,180.000,406.000,28.000,4.000,19.000,20.057,23.000,1.000,7.000,11.000,1.000,8.070,18.942,1.000,1.000,11.000,2.000,1.000,2.000,6.000,1.000,21.000,1.000,5.000,3.272,3.000,0.000,8.000,0.000,5.000,14.000,0.000,0.000,4.000,7.000,5.000,3.000,1.000,3.000,6.007,13.156,19.000
江東区,2155.422,411.000,841.000,109.000,13.000,68.000,82.938,58.000,5.000,19.000,37.000,6.000,24.254,49.061,0.000,3.000,15.000,4.000,0.000,9.000,7.000,2.000,58.000,1.000,18.000,21.878,6.000,3.057,17.000,2.000,18.000,46.000,7.000,10.000,2.000,20.017,8.000,5.000,25.000,11.000,13.031,43.186,57.000
