令和3年10月31日  執行,,,,,,,,,,,,,,,,,
衆議院（比例代表選出）議員選挙　届出政党等別得票数（全政党等）,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,
令和3年 11月1日 10時 23分 確定,,,,,,,,,,,,,,,,,
開  票  区  名,,1,2,3,4,5,6,7,8,9,10,11,12,,,,
,,自由民主党,社会民主党,国民民主党,日本維新の会,日本第一党,れいわ新選組,公明党,新党やまと,日本共産党,立憲民主党,政権交代によるコロナ対策強化新党,NHKと裁判してる党弁護士法７２条違反で,合計,残票数,開票率,受信時刻
　★都計,確,2000084.000,92995.000,306179.757,858577.000,33661.000,360387.000,715450.000,16970.000,670340.000,1293281.168,6620.000,92353.000,6446897.925,0,100.00,
　☆区部計,確,1372172.000,57882.000,214373.664,632262.000,24120.000,246807.000,474435.000,12540.000,457465.000,845429.299,4508.000,65970.000,4407963.963,0,100.00,
　　千代田区,確,13042.000,372.000,1702.035,5620.000,201.000,1465.000,1506.000,105.000,2486.000,5541.964,32.000,557.000,32629.999,0,100.00,0:51
　　中央区,確,29261.000,810.000,3879.751,14407.000,415.000,4090.000,4785.000,152.000,5667.000,14575.248,120.000,1472.000,79633.999,0,100.00,1:46
　　港区計,確,39320.000,1150.000,4990.477,19744.000,502.000,5801.000,6569.000,177.000,8521.000,20019.521,123.000,1900.000,108816.998,0,100.00,
　　港区１区,確,33253.000,991.000,4130.739,16851.000,408.000,4839.000,5519.000,144.000,7375.000,17116.260,102.000,1563.000,92291.999,0,100.00,1:26
　　港区２区,確,6067.000,159.000,859.738,2893.000,94.000,962.000,1050.000,33.000,1146.000,2903.261,21.000,337.000,16524.999,0,100.00,1:52
　　新宿区計,確,46737.000,2162.000,7167.384,22483.000,888.000,8715.000,15489.000,343.000,17365.000,27606.614,150.000,2424.000,151529.998,0,100.00,
　　新宿区１区,確,40759.000,1851.000,6149.477,19756.000,759.000,7462.000,13204.000,300.000,14833.000,23446.522,119.000,2105.000,130743.999,0,100.00,3:32
　　新宿区１０区,確,5978.000,311.000,1017.907,2727.000,129.000,1253.000,2285.000,43.000,2532.000,4160.092,31.000,319.000,20785.999,0,100.00,0:38
　　文京区,確,39063.000,1653.000,6244.550,16870.000,589.000,6167.000,6676.000,196.000,14962.000,23998.449,141.000,1686.000,118245.999,0,100.00,1:50
　　台東区計,確,32160.000,1122.000,4781.515,14080.000,586.000,5823.000,7764.000,239.000,9215.000,17892.483,116.000,1607.000,95385.998,0,100.00,
　　台東区２区,確,21269.000,727.000,3243.621,9242.000,371.000,3813.000,4428.000,134.000,5875.000,12134.378,71.000,1099.000,62406.999,0,100.00,2:06
　　台東区１４区,確,10891.000,395.000,1537.894,4838.000,215.000,2010.000,3336.000,105.000,3340.000,5758.105,45.000,508.000,32978.999,0,100.00,1:35
　　墨田区,確,40377.000,1461.000,6594.521,19825.000,727.000,6361.000,16777.000,278.000,12044.000,21208.478,172.000,2208.000,128032.999,0,100.00,1:13
　　江東区,確,77817.000,2845.000,10696.256,39729.000,2524.000,11085.000,29022.000,454.000,24159.000,40763.743,396.000,3964.000,243454.999,0,100.00,1:24
　　品川区計,確,63248.000,2508.000,10109.538,25716.000,988.000,10020.000,19582.000,506.000,20164.000,38774.460,160.000,3165.000,194940.998,0,100.00,
　　品川区３区,確,57061.000,2268.000,9092.643,22735.000,902.000,9046.000,18245.000,479.000,18563.000,34864.356,131.000,2867.000,176253.999,0,100.00,3:24
　　品川区７区,確,6187.000,240.000,1016.895,2981.000,86.000,974.000,1337.000,27.000,1601.000,3910.104,29.000,298.000,18686.999,0,100.00,0:13
　　目黒区計,確,42153.000,1709.000,6832.094,21333.000,547.000,8166.000,11147.000,233.000,13108.000,29394.904,160.000,1882.000,136664.998,0,100.00,
　　目黒区５区,確,27867.000,1195.000,4650.326,14660.000,362.000,5597.000,7660.000,163.000,9204.000,20045.673,102.000,1272.000,92777.999,0,100.00,2:56
　　目黒区７区,確,14286.000,514.000,2181.768,6673.000,185.000,2569.000,3487.000,70.000,3904.000,9349.231,58.000,610.000,43886.999,0,100.00,2:09
　　大田区計,確,104406.000,4196.000,16837.841,53867.000,1707.000,16273.000,42065.000,761.000,36428.000,58718.157,363.000,4714.000,340335.998,0,100.00,
　　大田区３区,確,27864.000,1118.000,4545.676,13211.000,353.000,4436.000,7074.000,160.000,8106.000,18819.323,106.000,1123.000,86915.999,0,100.00,1:36
　　大田区４区,確,76542.000,3078.000,12292.165,40656.000,1354.000,11837.000,34991.000,601.000,28322.000,39898.834,257.000,3591.000,253419.999,0,100.00,2:03
　　世田谷区計,確,139497.000,6969.000,23006.848,73918.000,1929.000,30542.000,33004.000,1160.000,42319.000,101483.150,100.000,5542.000,459469.998,0,100.00,
　　世田谷区５区,確,57083.000,2602.000,9267.083,30252.000,736.000,11505.000,12283.000,483.000,15516.000,39639.916,43.000,2467.000,181876.999,0,100.00,1:53
　　世田谷区６区,確,82414.000,4367.000,13739.765,43666.000,1193.000,19037.000,20721.000,677.000,26803.000,61843.234,57.000,3075.000,277592.999,0,100.00,2:32
　　渋谷区,確,33040.000,1330.000,5250.188,15564.000,487.000,7228.000,6961.000,226.000,10702.000,24147.811,153.000,1714.000,106802.999,0,100.00,0:59
　　中野区計,確,46092.000,2181.000,7741.148,18839.000,887.000,10064.000,16389.000,432.000,16322.000,36599.850,191.000,2322.000,158059.998,0,100.00,
　　中野区７区,確,23743.000,1073.000,4003.703,9828.000,463.000,4965.000,8163.000,170.000,7733.000,18042.296,110.000,1158.000,79451.999,0,100.00,1:59
　　中野区１０区,確,22349.000,1108.000,3737.445,9011.000,424.000,5099.000,8226.000,262.000,8589.000,18557.554,81.000,1164.000,78607.999,0,100.00,1:13
　　杉並区計,確,87425.000,4424.000,15073.976,37160.000,1376.000,23134.000,20447.000,529.000,31538.000,66423.022,344.000,3828.000,291701.998,0,100.00,
　　杉並区７区,確,1722.000,78.000,321.288,849.000,38.000,447.000,592.000,10.000,540.000,1394.711,14.000,102.000,6107.999,0,100.00,0:39
　　杉並区８区,確,85703.000,4346.000,14752.688,36311.000,1338.000,22687.000,19855.000,519.000,30998.000,65028.311,330.000,3726.000,285593.999,0,100.00,3:11
　　豊島区計,確,39705.000,1802.000,6950.581,17519.000,760.000,7109.000,13269.000,599.000,14183.000,24448.417,54.000,2003.000,128401.998,0,100.00,
　　豊島区１０区,確,26861.000,1232.000,4772.426,11063.000,515.000,4995.000,8647.000,467.000,9471.000,17454.573,3.000,1403.000,86883.999,0,100.00,2:42
　　豊島区１２区,確,12844.000,570.000,2178.155,6456.000,245.000,2114.000,4622.000,132.000,4712.000,6993.844,51.000,600.000,41517.999,0,100.00,2:11
　　北区,確,51018.000,2466.000,7448.956,25623.000,850.000,8045.000,22541.000,372.000,22188.000,25614.043,249.000,2350.000,168764.999,0,100.00,2:24
　　荒川区,確,28617.000,1124.000,4174.859,13697.000,530.000,4682.000,13103.000,210.000,10856.000,15552.140,105.000,1414.000,94064.999,0,100.00,3:09
　　板橋区計,確,75712.000,3887.000,12220.181,30693.000,1426.000,13737.000,32357.000,610.000,29646.000,51152.817,373.000,3746.000,255559.998,0,100.00,
　　板橋区１１区,確,74069.000,3796.000,11978.131,30001.000,1394.000,13509.000,31154.000,601.000,28963.000,50256.868,365.000,3664.000,249750.999,0,100.00,1:39
　　板橋区１２区,確,1643.000,91.000,242.050,692.000,32.000,228.000,1203.000,9.000,683.000,895.949,8.000,82.000,5808.999,0,100.00,23:30
　　練馬区計,確,104310.000,5196.000,17125.825,48110.000,1780.000,19176.000,37267.000,2688.000,35235.000,73586.173,542.000,5208.000,350223.998,0,100.00,
　　練馬区９区,確,79606.000,4092.000,12902.587,37831.000,1279.000,14816.000,29508.000,2283.000,27464.000,56787.412,400.000,3942.000,270910.999,0,100.00,3:25
　　練馬区１０区,確,24704.000,1104.000,4223.238,10279.000,501.000,4360.000,7759.000,405.000,7771.000,16798.761,142.000,1266.000,79312.999,0,100.00,1:47
　　足立区計,確,87706.000,3180.000,11590.820,29812.000,1568.000,15778.000,46387.000,823.000,32383.000,50161.178,133.000,4244.000,283765.998,0,100.00,
　　足立区１２区,確,12340.000,467.000,1510.489,5212.000,264.000,2261.000,10106.000,84.000,5295.000,5972.510,54.000,646.000,44211.999,0,100.00,0:57
　　足立区１３区,確,75366.000,2713.000,10080.331,24600.000,1304.000,13517.000,36281.000,739.000,27088.000,44188.668,79.000,3598.000,239553.999,0,100.00,5:04
　　葛飾区,確,64186.000,2380.000,10929.099,28980.000,1138.000,9525.000,27006.000,449.000,20997.000,29158.900,295.000,3184.000,198227.999,0,100.00,5:26
　　江戸川区計,確,87280.000,2955.000,13025.221,38673.000,1715.000,13821.000,44322.000,998.000,26977.000,48607.777,36.000,4836.000,283245.998,0,100.00,
　　江戸川区１６区,確,71700.000,2407.000,10316.343,31363.000,1400.000,11487.000,37638.000,859.000,22276.000,41378.656,30.000,4108.000,234962.999,0,100.00,1:45
　　江戸川区１７区,確,15580.000,548.000,2708.878,7310.000,315.000,2334.000,6684.000,139.000,4701.000,7229.121,6.000,728.000,48282.999,0,100.00,2:17
　☆市部計,確,613623.000,34639.000,90769.712,223563.000,9418.000,111839.000,234973.000,4324.000,209645.000,440465.259,2073.000,25986.000,2001317.971,0,100.00,
　　八王子市計,確,79624.000,6107.000,14609.366,24585.000,1337.000,12930.000,44347.000,445.000,26494.000,48898.632,316.000,3276.000,262968.998,0,100.00,
　　八王子市２１区,確,1549.000,93.000,248.561,621.000,21.000,292.000,611.000,7.000,509.000,1044.438,2.000,64.000,5061.999,0,100.00,0:56
　　八王子市２４区,確,78075.000,6014.000,14360.805,23964.000,1316.000,12638.000,43736.000,438.000,25985.000,47854.194,314.000,3212.000,257906.999,0,100.00,1:45
　　立川市,確,26502.000,1214.000,3476.394,10002.000,390.000,4268.000,10762.000,172.000,8776.000,17173.605,101.000,1228.000,84064.999,0,100.00,2:46
　　武蔵野市,確,23372.000,1221.000,4107.042,8411.000,350.000,4516.000,4262.000,139.000,6988.000,20972.957,84.000,933.000,75355.999,0,100.00,2:17
　　三鷹市,確,28233.000,1462.000,4592.051,10468.000,444.000,7824.000,7272.000,158.000,8989.000,23945.948,135.000,1194.000,94716.999,0,100.00,3:03
　　青梅市,確,20781.000,905.000,2137.203,5573.000,259.000,2974.000,8092.000,137.000,5737.000,12967.796,81.000,713.000,60356.999,0,100.00,1:50
　　府中市,確,39325.000,2065.000,6030.496,14260.000,662.000,6822.000,12041.000,333.000,11236.000,28783.503,76.000,1837.000,123470.999,0,100.00,1:06
　　昭島市,確,16653.000,927.000,2147.313,4909.000,261.000,2441.000,6977.000,103.000,4909.000,10800.686,79.000,634.000,50840.999,0,100.00,0:50
　　調布市,確,34968.000,1732.000,5749.222,13141.000,552.000,8622.000,11932.000,361.000,11625.000,26476.777,10.000,1559.000,116727.999,0,100.00,0:49
