開票区名,計,（１）あらい広幸,（２）平山まこと,（３）朝倉秀雄,（４）伊藤じゅんこ,（５）おおさか佳巨,（６）たなかだいすけ,（７）福田こうぞう,（８）藤岡かよこ,（９）山田太郎
★都計,70048.921,5981.779,332.016,110.552,399.380,222.000,332.176,137.041,173.000,62360.977
☆区部計,50058.197,4362.444,244.016,67.353,294.509,158.000,242.112,97.041,132.000,44460.722
千代田区,460.265,37.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,420.265
中央区,565.060,65.000,3.000,1.000,7.000,0.000,3.060,1.000,0.000,485.000
港区,871.617,107.000,11.000,2.011,4.000,4.000,3.000,1.000,5.000,734.606
新宿区,1670.123,174.000,9.000,1.000,11.000,4.000,5.070,1.000,6.000,1459.053
文京区,1502.711,145.000,5.000,0.000,12.000,4.000,3.000,3.000,5.000,1325.711
台東区,1315.602,97.000,8.000,1.005,5.059,4.000,2.108,3.000,5.000,1190.430
墨田区,1349.764,109.000,7.000,2.014,11.097,3.000,5.236,5.000,5.000,1202.417
江東区,2530.072,255.000,11.000,5.033,17.180,7.000,17.598,6.000,6.000,2205.261
品川区,1998.636,173.000,9.000,1.005,10.082,20.000,7.041,4.000,1.000,1773.508
目黒区,1207.978,157.000,9.000,0.000,8.000,3.000,2.000,2.000,1.000,1025.978
大田区,3733.845,271.865,16.000,7.039,19.201,12.000,28.705,11.000,13.000,3355.035
世田谷区,4696.640,575.000,32.000,10.033,44.101,9.000,32.272,6.000,19.000,3969.234
渋谷区,1143.421,129.000,6.000,4.011,13.056,3.000,5.000,3.000,4.000,976.354
中野区,2162.422,134.000,14.000,4.000,14.000,7.000,11.140,2.000,4.000,1972.282
杉並区,3934.785,314.000,16.000,2.003,18.000,13.000,14.154,6.000,9.000,3542.628
豊島区,1843.954,126.000,8.000,2.024,7.000,2.000,9.160,1.000,3.000,1685.770
北区,2116.746,174.000,9.000,2.015,6.048,5.000,5.212,4.000,1.000,1910.471
荒川区,1053.190,72.000,1.016,0.000,2.030,4.000,4.181,3.000,0.000,966.963
板橋区,3157.730,257.800,11.000,4.021,13.060,11.000,12.372,6.000,6.000,2836.477
練馬区,4562.562,346.779,19.000,8.064,19.059,16.000,25.328,8.000,11.000,4109.332
足立区,2833.960,225.000,11.000,5.042,21.096,7.000,17.651,8.041,8.000,2531.130
葛飾区,2173.871,155.000,5.000,2.000,15.185,10.000,3.108,6.000,9.000,1968.578
江戸川区,3173.243,263.000,22.000,4.033,17.255,10.000,25.716,6.000,11.000,2814.239
☆市部計,19799.580,1591.502,82.000,42.160,103.871,62.000,88.064,38.000,41.000,17750.983
八王子市,2338.179,177.719,12.000,9.051,25.204,5.000,10.541,6.000,4.000,2088.664
立川市,816.300,67.000,4.000,1.004,1.000,3.000,5.220,1.000,1.000,733.076
武蔵野市,986.281,68.000,6.000,0.000,1.000,6.000,1.012,1.000,0.000,903.269
三鷹市,1081.348,96.000,4.000,4.000,4.000,4.000,3.000,3.000,2.000,961.348
青梅市,552.299,45.000,3.000,1.010,4.000,1.000,6.480,2.000,3.000,486.809
府中市,1183.562,90.000,3.000,4.024,4.037,1.000,2.021,1.000,2.000,1076.480
昭島市,472.315,38.000,4.000,3.022,3.000,3.000,3.096,0.000,0.000,418.197
調布市,1390.880,96.000,3.000,2.002,6.026,4.000,5.094,1.000,6.000,1267.758
町田市,1891.932,193.000,9.000,4.000,13.098,11.000,10.111,5.000,3.000,1643.723
小金井市,805.336,54.000,1.000,0.000,6.292,4.000,2.044,0.000,3.000,735.000
小平市,944.096,86.877,3.000,1.000,5.067,4.000,2.056,0.000,4.000,838.096
日野市,907.477,63.000,3.000,0.000,4.000,3.000,4.285,5.000,2.000,823.192
東村山市,671.013,58.000,5.000,5.013,2.000,0.000,7.000,3.000,0.000,591.000
国分寺市,742.077,52.000,1.000,2.000,1.000,1.000,1.040,1.000,0.000,683.037
国立市,402.449,49.000,0.000,1.000,2.000,2.000,0.000,0.000,1.000,347.449
福生市,234.796,10.000,3.000,1.018,1.000,0.000,1.040,2.000,1.000,215.738
狛江市,404.057,25.000,3.000,1.003,2.000,0.000,4.342,2.000,2.000,364.712
東大和市,342.088,28.000,1.000,0.000,4.000,2.000,2.088,1.000,0.000,304.000
清瀬市,320.906,29.906,0.000,0.000,2.000,3.000,3.000,0.000,1.000,282.000
東久留米市,522.576,46.000,4.000,2.013,1.062,2.000,6.406,1.000,0.000,460.095
武蔵村山市,152.347,6.000,0.000,0.000,1.076,0.000,2.051,1.000,0.000,142.220
多摩市,718.571,63.000,2.000,1.000,1.009,1.000,1.051,0.000,1.000,648.511
稲城市,392.000,29.000,1.000,0.000,3.000,0.000,0.000,0.000,1.000,358.000
羽村市,209.000,15.000,3.000,0.000,3.000,0.000,1.000,0.000,0.000,187.000
あきる野市,216.665,23.000,1.000,0.000,2.000,2.000,0.000,2.000,1.000,185.665
西東京市,1101.030,83.000,3.000,0.000,2.000,0.000,4.086,0.000,3.000,1005.944
☆西多摩郡計,146.144,21.833,1.000,1.039,0.000,0.000,1.000,2.000,0.000,119.272
瑞穂町,77.701,13.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,61.701
日の出町,40.443,5.833,0.000,1.039,0.000,0.000,0.000,1.000,0.000,32.571
檜原村,7.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000
奥多摩町,21.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.000
☆島部計,45.000,6.000,5.000,0.000,1.000,2.000,1.000,0.000,0.000,30.000
大島支庁小計,25.000,3.000,5.000,0.000,1.000,1.000,1.000,0.000,0.000,14.000
大島町,21.000,2.000,5.000,0.000,1.000,0.000,1.000,0.000,0.000,12.000
利島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
新島村,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
神津島村,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
三宅支庁小計,7.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000
三宅村,6.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000
御蔵島村,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
八丈支庁小計,9.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,8.000
八丈町,9.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,8.000
青ヶ島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
小笠原支庁小計,4.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
小笠原村,4.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
