令和元年7月21日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自由民主党,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年 7月22日 13時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,三木,三浦,赤池,ありむら,石田,糸川,井上,えとう,小川,おだち,かくた,北村,木村,くま田,佐藤,佐藤,山東,田中,つげ,中田,橋本,羽生田,ひが,本田,丸山,水口,宮崎,宮本,森本,山田,山田,山本,和田
,,とおる,靖,まさあき,治子,まさひろ,まさあき,よしゆき,せいいち,しんじ,源幸,充由,経夫,よしお,あつし,のぶあき,まさひさ,昭子,まさし,芳文,宏,聖子,たかし,なつみ,あきこ,和也,なおと,まさお,しゅうじ,勝也,太郎,としお,左近,まさむね
　★都計,470493.075,-,-,10351.084,18902.000,9560.000,5326.902,8441.520,13132.000,8291.797,11842.000,1797.635,16788.000,5568.245,2260.000,7646.839,33817.432,25646.000,5316.426,13969.031,18488.963,29091.000,11337.309,11131.000,11693.000,14143.000,3908.000,1822.000,3219.000,1331.000,111852.543,6217.488,8319.861,39282.000
　☆区部計,333814.083,-,-,7077.336,13523.000,7176.000,3579.654,6022.180,8998.000,5535.451,9264.000,1050.090,11372.000,4043.236,1697.000,5472.317,23858.041,19152.000,3617.897,8795.538,13417.491,20653.000,8247.309,8535.000,7919.000,10744.000,2014.000,1318.000,1623.000,841.000,80657.738,3087.728,5719.077,28804.000
　　千代田区,3474.341,-,-,53.000,155.000,87.000,29.000,30.000,55.000,18.900,84.000,18.000,106.000,64.941,8.000,73.000,301.000,144.000,13.000,106.000,132.000,223.000,197.000,165.000,67.000,101.000,49.000,13.000,19.000,10.000,772.451,17.000,51.049,312.000
　　中央区,5845.766,-,-,83.000,199.000,159.000,74.000,89.000,159.000,79.000,166.000,23.000,143.000,71.000,21.000,102.000,454.000,278.000,28.000,201.000,296.000,367.000,210.471,198.000,155.000,237.000,47.000,23.000,39.000,29.000,1041.295,45.000,155.000,674.000
　　港区,9101.523,-,-,184.000,425.000,155.000,172.000,140.716,288.000,99.970,298.000,31.000,247.000,168.000,51.000,145.348,605.453,656.000,51.680,207.000,512.000,627.000,409.000,277.000,192.000,354.000,38.000,26.000,73.000,41.000,1383.964,51.271,299.121,893.000
　　新宿区,11327.144,-,-,180.640,389.000,302.000,101.359,170.845,319.000,132.910,276.000,27.000,395.000,117.854,58.000,195.403,1174.423,531.000,79.632,358.000,410.000,620.000,406.000,326.000,261.000,289.000,63.000,72.000,57.000,32.000,2642.939,83.060,173.079,1084.000
　　文京区,9841.730,-,-,207.000,301.000,188.000,113.000,143.000,247.000,117.966,180.000,38.000,251.000,116.000,41.000,168.331,723.425,514.000,104.702,455.000,343.000,673.000,531.000,346.000,289.000,302.000,47.000,66.000,61.000,29.000,2248.966,77.308,144.032,776.000
　　台東区,7267.404,-,-,128.000,292.000,131.000,67.000,71.000,203.000,89.610,361.000,28.000,161.000,84.784,29.000,69.132,402.770,335.000,48.000,366.000,219.000,355.000,152.000,181.000,216.000,219.000,66.000,23.000,38.000,10.000,2107.955,48.044,125.109,641.000
　　墨田区,9373.402,-,-,233.000,384.000,228.000,96.000,143.392,317.000,169.508,270.000,33.000,229.000,137.403,59.000,130.000,512.000,600.000,122.000,237.000,370.000,644.000,154.000,267.000,203.000,311.000,43.000,34.000,47.000,21.000,2394.680,72.116,163.303,749.000
　　江東区,19033.148,-,-,589.689,779.000,492.000,265.310,350.439,523.000,404.062,446.000,51.000,561.000,302.538,107.000,390.703,1145.060,1353.000,196.568,615.000,728.000,1574.000,332.000,353.000,378.000,763.000,188.000,88.000,110.000,42.000,3882.862,186.137,323.780,1513.000
