令和3年7月4日  執行,,,,,,,,,,
東京都議会議員選挙　開票結果内訳,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,
令和3年 7月5日 2時 25分 確定,,,,,,,,,,
開  票  区  名,得  票  総  数,按 分 の 際 切捨 て た 票 数,いずれの候補者にも属さない票,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思 わ れ る 票,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　★都計,4643656.993,0.007,0 ,4643657 ,85746 ,4729403 ,74 ,7 ,4729484 ,1.81
　☆区部計,3255156.994,0.006,0 ,3255157 ,60489 ,3315646 ,66 ,6 ,3315718 ,1.82
　☆市部計,1360419.999,0.001,0 ,1360420 ,24576 ,1384996 ,8 ,1 ,1385005 ,1.77
　☆郡部計,17203.000,0.000,0 ,17203 ,295 ,17498 ,0 ,0 ,17498 ,1.69
　☆島部計,10877.000,0.000,0 ,10877 ,386 ,11263 ,0 ,0 ,11263 ,3.43
　☆区部計,3255156.994,0.006,0 ,3255157 ,60489 ,3315646 ,66 ,6 ,3315718 ,1.82
　　千代田区,22856.000,0.000,0 ,22856 ,530 ,23386 ,0 ,0 ,23386 ,2.27
　　中央区,51404.000,0.000,0 ,51404 ,1574 ,52978 ,2 ,0 ,52980 ,2.97
　　港区,66137.000,0.000,0 ,66137 ,1314 ,67451 ,1 ,1 ,67453 ,1.95
　　新宿区,111167.999,0.001,0 ,111168 ,1889 ,113057 ,2 ,1 ,113060 ,1.67
　　文京区,85989.000,0.000,0 ,85989 ,2049 ,88038 ,3 ,0 ,88041 ,2.33
　　台東区,69666.000,0.000,0 ,69666 ,1700 ,71366 ,1 ,0 ,71367 ,2.38
　　墨田区,98495.000,0.000,0 ,98495 ,1778 ,100273 ,1 ,0 ,100274 ,1.77
　　江東区,179573.000,0.000,0 ,179573 ,3383 ,182956 ,6 ,0 ,182962 ,1.85
　　品川区,141631.000,0.000,0 ,141631 ,2478 ,144109 ,0 ,1 ,144110 ,1.72
　　目黒区,98227.000,0.000,0 ,98227 ,1781 ,100008 ,3 ,0 ,100011 ,1.78
