開票区名,得票総数,按分の際切捨てた票数,いずれの候補者にも属さない票数,有効投票数,無効投票数,投票総数,持ち帰りと思われる票数,不受理と決定した票数,投票者数,無効投票率
★都計,5681716.991,0.009,0,5681717,216710,5898427,246,3,5898676,3.67
☆区部計,3845549.999,0.001,0,3845550,155001,4000551,217,2,4000770,3.87
☆市部計,1798090.996,0.004,0,1798091,60328,1858419,29,1,1858449,3.25
☆郡部計,24503.996,0.004,0,24504,807,25311,0,0,25311,3.19
☆島部計,13572.000,0.000,0,13572,574,14146,0,0,14146,4.06
☆１区,250830.000,0.000,0,250830,10037,260867,92,1,260960,3.85
千代田区,26421.000,0.000,0,26421,998,27419,0,0,27419,3.64
港区,93932.000,0.000,0,93932,3716,97648,3,0,97651,3.81
新宿区,130477.000,0.000,0,130477,5323,135800,89,1,135890,3.92
☆２区,243875.000,0.000,0,243875,8110,251985,3,0,251988,3.22
中央区,60597.000,0.000,0,60597,2124,62721,0,0,62721,3.39
文京区,100535.000,0.000,0,100535,3165,103700,1,0,103701,3.05
台東区,82743.000,0.000,0,82743,2821,85564,2,0,85566,3.30
☆３区,261271.000,0.000,0,261271,8501,269772,11,0,269783,3.15
☆区部計,247699.000,0.000,0,247699,7927,255626,11,0,255637,3.10
品川区,162177.000,0.000,0,162177,5102,167279,1,0,167280,3.05
大田３区,85522.000,0.000,0,85522,2825,88347,10,0,88357,3.20
☆島部計,13572.000,0.000,0,13572,574,14146,0,0,14146,4.06
大島支庁,6706.000,0.000,0,6706,307,7013,0,0,7013,4.38
大島町,4024.000,0.000,0,4024,233,4257,0,0,4257,5.47
利島村,218.000,0.000,0,218,11,229,0,0,229,4.80
新島村,1523.000,0.000,0,1523,49,1572,0,0,1572,3.12
神津島村,941.000,0.000,0,941,14,955,0,0,955,1.47
三宅支庁,1573.000,0.000,0,1573,31,1604,0,0,1604,1.93
三宅村,1389.000,0.000,0,1389,21,1410,0,0,1410,1.49
御蔵島村,184.000,0.000,0,184,10,194,0,0,194,5.15
八丈支庁,4107.000,0.000,0,4107,167,4274,0,0,4274,3.91
八丈町,4009.000,0.000,0,4009,160,4169,0,0,4169,3.84
青ヶ島村,98.000,0.000,0,98,7,105,0,0,105,6.67
小笠原支庁,1186.000,0.000,0,1186,69,1255,0,0,1255,5.50
